😀 => 😀, چہرہ؛ منہ؛ کھلا؛ ہنسی
🕙 => 🕙, گھڑی؛ 10:00؛ دس
🕥 => 🕥, گھڑی؛ 10:30؛ دس؛ تیس
🕚 => 🕚, گھڑی؛ 11:00؛ گیارہ
🕦 => 🕦, گھڑی؛ 11:30؛ گیارہ؛ تیس
🌑 => 🌑, چاند؛ موسم؛ سیاہ
🌒 => 🌒, چاند؛ موسم؛ ہلال
🌓 => 🌓, چاند؛ موسم؛ کوارٹر
🌔 => 🌔, چاند؛ موسم؛ بڑھتا ہوا
🌕 => 🌕, چاند؛ موسم؛ مکمل
🌖 => 🌖, چاند؛ موسم؛ گھٹتا ہوا
🌗 => 🌗, چاند؛ موسم؛ کوارٹر
🌘 => 🌘, چاند؛ موسم؛ ہلال
🌙 => 🌙, چاند؛ موسم؛ ہلال
🌚 => 🌚, چاند؛ موسم؛ چہرہ
🌛 => 🌛, چاند؛ موسم؛ چہرہ
🌜 => 🌜, چاند؛ موسم؛ چہرہ
🌡 => 🌡, موسم
☀ => ☀, موسم؛ صاف؛ سورج؛ کرنیں
🌝 => 🌝, موسم؛ صاف؛ خلا؛ مکمل؛ چہرہ
🌞 => 🌞, موسم؛ صاف؛ خلا؛ سورج؛ چہرہ
⭐ => ⭐, ستارہ
🌟 => 🌟, ستارہ؛ چمکتا
🌠 => 🌠, ستارہ؛ گرتا
☁ => ☁, موسم
⛅ => ⛅, بادل, موسم؛ سورج
⛈ => ⛈, بادل, موسم؛ بارش
🌤 => 🌤, بادل, موسم؛ سورج
🌥 => 🌥, بادل, موسم؛ سورج
🌦 => 🌦, بادل, موسم؛ سورج؛ بارش
🌧 => 🌧, بادل, موسم؛ بارش
🌨 => 🌨, بادل, موسم؛ برف
🌩 => 🌩, بادل, موسم؛ بجلی کی چمک
🌪 => 🌪, بادل, موسم؛ تیز ہوا
🌫 => 🌫, بادل, موسم
🌬 => 🌬, بادل, موسم؛ ہوا؛ چہرہ
🌀 => 🌀, موسم؛ گرداب
🌈 => 🌈, موسم؛ بارش
🌂 => 🌂, موسم؛ بارش؛ چھتڑی
☂ => ☂, لباس؛ بارش؛ موسم
☔ => ☔, لباس؛ بارش؛ موسم؛ چھتڑی
⛱ => ⛱, سورج؛ بارش؛ موسم؛ چھتڑی
⚡ => ⚡, وولٹیج؛ بجلی؛ خطرہ
❄ => ❄, ٹھنڈ؛ برف؛ موسم
☃ => ☃, ٹھنڈ؛ برف؛ موسم
⛄ => ⛄, ٹھنڈ؛ برف؛ موسم
☄ => ☄, خلا
🔥 => 🔥, آگ؛ اوزار
💧 => 💧, ٹھنڈ؛ قطرہ؛ موسم
🌊 => 🌊, موسم؛ پانی؛ لہر
🎃 => 🎃, کدو؛ لالٹین؛ جشن
🎄 => 🎄, جشن؛ درخت؛ کرسمس
🎇 => 🎇, آتش بازی؛ جشن
✨ => ✨, چمک؛ ستارہ
🎉 => 🎉, پارٹی؛ پٹاخے؛ جشن
🎊 => 🎊, رنگین کاغذ؛ بالز
🎋 => 🎋, جشن؛ جاپانی؛ درخت
🎌 => 🎌, جشن؛ جاپانی؛ کراس
🎍 => 🎍, جشن؛ جاپانی؛ پودا؛ پائن
🎎 => 🎎, جاپان؛ جشن؛ گڑیا؛ تہوار
🎏 => 🎏, جاپان؛ ہوا؛ جشن
🎐 => 🎐, گھنٹی؛ ہوا؛ جھنکار
🎑 => 🎑, چاند؛ رسم؛ جشن
🎀 => 🎀, تحفہ؛ جشن
🎁 => 🎁, تحفہ؛ جشن؛ لپٹا ہوا
🎖 => 🎖, انعام؛ فوج؛ میڈل
🎗 => 🎗, جشن؛ ربن؛ یاددہانی
🎞 => 🎞, فلم؛ فریم؛ سینما
🎟 => 🎟, داخلہ؛ ٹکٹ
🎫 => 🎫, داخلہ؛ تقریب
⚽ => ⚽, کھیل؛ فٹبال؛ گیند؛ میدان
⚾ => ⚾, کھیل؛ بال؛ امریکہ
🏀 => 🏀, کھیل؛ باسکٹ؛ بال
🏈 => 🏈, کھیل؛ فٹبال؛ امریکی
🏉 => 🏉, کھیل؛ فٹبال؛ امریکی؛ رغبی
🎾 => 🎾, کھیل؛ بال؛ ٹینس
🎱 => 🎱, کھیل؛ آٹھ؛ بال
🎳 => 🎳, کھیل؛ بال؛ بوتلیں
⛳ => ⛳, کھیل؛ گالف؛ میدان میں سوراخ؛ گیند
🏌 => 🏌, کھلاڑی؛ گالف
⛸ => ⛸, برف؛ اسٹیک
🎣 => 🎣, شکار؛ مچھلی؛ پانی؛ ڈنڈا
🎽 => 🎽, جاگنگ؛ واکنگ؛ شرٹ
🎿 => 🎿, برف؛ اسکائی
⛷ => ⛷, برف؛ اسکائی
🏂 => 🏂, برف؛ اسکائی؛ سنو بورڈ
🏄 => 🏄, پانی؛ تختہ؛ سرف
🏇 => 🏇, کھیل؛ دوڑ؛ گھوڑا
🏊 => 🏊, پانی؛ تیراکی
⛹ => ⛹, بال؛ بندہ
🏋 => 🏋, وزن؛ اٹھانا
🚴 => 🚴, سائیکل؛ سوار
🚵 => 🚵, سائیکل؛ سوار؛ بائیک؛ ماؤنٹین
🏎 => 🏎, کھیل؛ کار؛ ریس
🏍 => 🏍, سائیکل؛ موٹر؛ ریس
🏅 => 🏅, اسپورٹس؛ انعام؛ میڈل
🏆 => 🏆, انعام؛ ٹرافی
🏏 => 🏏, کھیل؛ بیٹ؛ بال
🏐 => 🏐, کھیل؛ بال
🏑 => 🏑, کھیل؛ میدان؛ ہاکی؛ بال
🏒 => 🏒, کھیل؛ برف؛ ہاکی؛ اسٹک؛ پک
🏓 => 🏓, کھیل؛ ٹیبل؛ بال؛ ریکٹ
🏸 => 🏸, کھیل؛ ریکٹ؛ نیٹ؛ شٹل
🎯 => 🎯, کھیل؛ نشانہ؛ ہدف؛ تیر اندازی
🎮 => 🎮, کھیل؛ ویڈیو
🕹 => 🕹, کھیل؛ ویڈیو؛ کنٹرول
🎲 => 🎲, کھیل؛ ڈائس
♠ => ♠, کھیل؛ تاش؛ پتہ؛ حکم
♥ => ♥, کھیل؛ تاش؛ پتہ؛ پان
♦ => ♦, کھیل؛ تاش؛ پتہ؛ اینٹ
♣ => ♣, کھیل؛ تاش؛ پتہ؛ چڑیا
🃏 => 🃏, کھیل؛ تاش؛ پتہ
🀄 => 🀄, کھیل؛ سرخ؛ ماہجونگ
🎴 => 🎴, کھیل؛ جاپانی؛ تاش
🔇 => 🔇, اسپیکر؛ آواز؛ خاموشی
🔈 => 🔈, اسپیکر؛ آواز
🔉 => 🔉, اسپیکر؛ آواز
🔊 => 🔊, اسپیکر؛ آواز؛ بلند
📢 => 📢, بلند آواز؛ اجتماع؛ خطاب
📣 => 📣, تیز آواز؛ آلہ
📯 => 📯, ساز؛ ہارن؛ پوسٹل
🔔 => 🔔, گھنٹی؛ آواز
🔕 => 🔕, گھنٹی؛ ممانعت؛ خاموشی؛ سکوت
🎼 => 🎼, موسیقی؛ اسکور
🎵 => 🎵, موسیقی؛ نوٹ
🎶 => 🎶, موسیقی؛ نوٹس
🎙 => 🎙, اسٹوڈیو؛ موسیقی؛ مائیکروفون
🎚 => 🎚, موسیقی؛ لیول؛ سلائیڈر
🎛 => 🎛, موسیقی؛ نابز؛ کنٹرول
🎤 => 🎤, موسیقی؛ مائیکروفون
🎧 => 🎧, موسیقی؛ ہیڈ فون
🎷 => 🎷, موسیقی؛ آلہ
🎸 => 🎸, موسیقی؛ آلہ
🎹 => 🎹, موسیقی؛ آلہ؛ کی بورڈ
🎺 => 🎺, موسیقی؛ آلہ
🎻 => 🎻, موسیقی؛ آلہ
📻 => 📻, برقی آلہ؛ ریڈیو
📱 => 📱, برقی آلہ؛ فون؛ موبائل
📲 => 📲, فون؛ موبائل؛ تیر؛ نشان
☎ => ☎, برقی آلہ؛ فون
📞 => 📞, برقی آلہ؛ فون؛ ریسیور
📟 => 📟, برقی آلہ؛ پیجر
📠 => 📠, برقی آلہ؛ فیکس
🔌 => 🔌, برقی؛ پلگ
💻 => 💻, کمپیوٹر؛ لیپ ٹاپ
🖥 => 🖥, کمپیوٹر؛ ڈیسک ٹاپ
🖨 => 🖨, کمپیوٹر؛ پرنٹ
⌨ => ⌨, کمپیوٹر؛ ٹائپنگ؛ کی بورڈ
🖱 => 🖱, کمپیوٹر؛ کرسر
🖲 => 🖲, کمپیوٹر؛ بال؛ ٹریک
💽 => 💽, کمپیوٹر؛ ڈسک؛ منی
💾 => 💾, کمپیوٹر؛ ڈسک؛ فلاپی
💿 => 💿, کمپیوٹر؛ ڈسک؛ آپٹکل
📀 => 📀, کمپیوٹر؛ ڈسک؛ ڈی وی ڈی
🎥 => 🎥, فلم؛ کیمرا؛ سینما
🎬 => 🎬, فلم؛ کلیپر
📽 => 📽, فلم؛ پروجیکٹر؛ سینما
📺 => 📺, ویڈیو؛ ٹی وی
📷 => 📷, ویڈیو؛ کیمرا
📸 => 📸, ویڈیو؛ کیمرا؛ فلیش
📹 => 📹, ویڈیو؛ کیمرا
📼 => 📼, ویڈیو؛ ٹیپ
🔍 => 🔍, آلہ؛ سمت؛ اشارہ؛ محدب؛ عدسہ؛ بائیں
🔎 => 🔎, آلہ؛ سمت؛ اشارہ؛ محدب؛ عدسہ؛ دائیں
🔬 => 🔬, آلہ؛ مائیکرو؛ سکوپ
🔭 => 🔭, آلہ؛ ٹیلی؛ سکوپ
📡 => 📡, آلہ؛ انٹینا؛ ڈش؛ سٹلائٹ
🕯 => 🕯, روشنی؛ موم؛ بتی
💡 => 💡, روشنی؛ برقی؛ بلب
🔦 => 🔦, روشنی؛ برقی؛ فلیش؛ ٹارچ
🏮 => 🏮, بار؛ چاپانی؛ روایت؛ لالٹین؛ سرخ؛ کاغذ؛ روشنی
📔 => 📔, کتاب؛ کوور؛ سجاوٹ؛ نوٹ بک
📕 => 📕, کتاب؛ بند
📖 => 📖, کتاب؛ کھلی
📗 => 📗, کتاب؛ رنگ؛ سبز
📘 => 📘, کتاب؛ رنگ؛ نیلا
📙 => 📙, کتاب؛ رنگ؛ نارنجی
📚 => 📚, کتاب
📓 => 📓, کتاب؛ نوٹ بک
📒 => 📒, نوٹ بک
📃 => 📃, صفحہ؛ دستاویز؛ مڑا ہوا
📜 => 📜, صفحہ؛ اسکرول
📄 => 📄, صفحہ؛ سامنے
🗞 => 🗞, اخبار؛ کاغذ؛ رول
📑 => 📑, بک مارک؛ ٹیبز
🔖 => 🔖, بک مارک
💰 => 💰, بیگ؛ رقم؛ ڈالر
💴 => 💴, بنک؛ رقم؛ نوٹ؛ ین
💵 => 💵, بنک؛ رقم؛ نوٹ؛ ڈالر
💶 => 💶, بنک؛ رقم؛ نوٹ؛ یورو
💷 => 💷, بنک؛ رقم؛ نوٹ؛ پاؤنڈ
💸 => 💸, بنک؛ رقم؛ نوٹ؛ ڈالر؛ پر؛ اڑنا
💳 => 💳, بنک؛ کارڈ؛ رقم؛ کریڈٹ
💹 => 💹, بنک؛ چارٹ؛ رقم؛ گراف؛ اضافہ؛ ین
✉ => ✉, پیغام؛ ڈاک
📧 => 📧, پیغام؛ ای میل؛ خط
📨 => 📨, پیغام؛ ڈاک؛ ای میل؛ وصولی
📩 => 📩, پیغام؛ ڈاک؛ ای میل؛ نشان؛ تیر
📤 => 📤, ٹرے؛ خط؛ بھیجا ہوا
📥 => 📥, ٹرے؛ خط؛ موصولہ
📦 => 📦, باکس؛ پارسل
📫 => 📫, باکس؛ میل؛ بند؛ بلند جھنڈا
📪 => 📪, باکس؛ میل؛ بند؛ جھکا جھنڈا
📬 => 📬, باکس؛ میل؛ کھلا؛ بلند جھنڈا
📭 => 📭, باکس؛ میل؛ کھلا؛ جھکا جھنڈا
📮 => 📮, باکس؛ میل
🗳 => 🗳, باکس؛ بیلٹ
✏ => ✏, اسٹیشنری؛ پنسل
✒ => ✒, اسٹیشنری؛ پن؛ نب؛ سیاہ
🖋 => 🖋, اسٹیشنری؛ پن
🖊 => 🖊, اسٹیشنری؛ بال پن
🖌 => 🖌, اسٹیشنری؛ پینٹنگ؛ برش
🖍 => 🖍, اسٹیشنری؛ رنگ
📝 => 📝, اسٹیشنری؛ پنسل؛ میمو
💼 => 💼, اسٹیشنری؛ بریف کیس
📁 => 📁, اسٹیشنری؛ فائل؛ فولڈر
📂 => 📂, اسٹیشنری؛ فائل؛ فولڈر؛ کھلا
🗂 => 🗂, اسٹیشنری؛ کارڈ؛ انڈیکس؛ تقسیم کار
📅 => 📅, اسٹیشنری؛ کیلنڈر؛ تاریخ
📆 => 📆, اسٹیشنری؛ کیلنڈر؛ قسم
🗒 => 🗒, اسٹیشنری؛ نوٹ بک؛ سپائرل
🗓 => 🗓, اسٹیشنری؛ کیلنڈر؛ سپائرل
📇 => 📇, اسٹیشنری؛ کارڈ؛ انڈیکس
📈 => 📈, اسٹیشنری؛ چارٹ؛ بڑھوتری
📉 => 📉, اسٹیشنری؛ چارٹ؛ تنزلی
📊 => 📊, اسٹیشنری؛ چارٹ؛ گراف؛ بار
📋 => 📋, اسٹیشنری؛ کلپ بورڈ
📌 => 📌, اسٹیشنری؛ پِن
📍 => 📍, اسٹیشنری؛ پِن؛ گول
📎 => 📎, اسٹیشنری؛ کلپ؛ پیپر
🖇 => 🖇, اسٹیشنری؛ کلپ؛ پیپر؛ جڑے ہوئے
📏 => 📏, اسٹیشنری؛ رولر؛ سیدھا
📐 => 📐, اسٹیشنری؛ رولر؛ تکونی
✂ => ✂, اسٹیشنری؛ آلہ؛ قینچی
🗃 => 🗃, اسٹیشنری؛ کارڈ؛ باکس؛ فائل
🗄 => 🗄, اسٹیشنری؛ کیبنٹ؛ فائل
🗑 => 🗑, ٹوکری؛ ردی
🔒 => 🔒, لاک؛ بند
🔓 => 🔓, لاک؛ کھلا
🔏 => 🔏, لاک؛ پن؛ پرائیویسی
🔐 => 🔐, لاک؛ بند؛ چابی؛ محفوظ
🔑 => 🔑, لاک؛ پاسورڈ
🗝 => 🗝, لاک؛ پرانا؛ پاسورڈ
🔨 => 🔨, آلہ؛ ہتھوڑا
⛏ => ⛏, آلہ؛ کدال
⚒ => ⚒, آلہ؛ ہتھوڑا؛ کدال
🛠 => 🛠, آلہ؛ ہتھوڑا؛ رینچ
🔧 => 🔧, آلہ؛ رینچ
🔩 => 🔩, آلہ؛ نٹ؛ بولٹ
⚙ => ⚙, آلہ؛ گراری
🗜 => 🗜, آلہ؛ کمپریشن
⚗ => ⚗, آلہ؛ الیمبک
⚖ => ⚖, آلہ؛ ترازو؛ پلڑے؛ برابر
⛓ => ⛓, آلہ؛ زنجیر
💉 => 💉, ڈاکٹر؛ دوائی؛ آلہ؛ سوئی
💊 => 💊, ڈاکٹر؛ دوائی؛ بیماری
🗡 => 🗡, آلہ؛ ہتھیار؛ خنجر
🔪 => 🔪, کُکنگ؛ آلہ؛ چھری
⚔ => ⚔, ہتھیار؛ تلواریں؛ کراس
🔫 => 🔫, ہتھیار؛ پستول
🛡 => 🛡, ہتھیار؛ حفاظت؛ شیلڈ
🏹 => 🏹, ہتھیار؛ تیر؛ کمان؛ جنگ
🏁 => 🏁, جھنڈا؛ ریسنگ
🏳 => 🏳, جھنڈا؛ لہراتا؛ سفید
🏴 => 🏴, جھنڈا؛ لہراتا؛ کالا
🚩 => 🚩, جھنڈا؛ تکون
🚬 => 🚬, سگریٹ کشی؛ دھواں
⚰ => ⚰, موت؛ کفن؛ جنازہ
⚱ => ⚱, موت؛ راکھ؛ برتن
🗿 => 🗿, چہرہ؛ مجسمہ
🛢 => 🛢, ڈرم؛ تیل
🔮 => 🔮, فینٹسی؛ بال؛ قسمت؛ کرسٹل
🏧 => 🏧, بنک؛ اے ٹی ایم؛ رقم؛ آٹو میٹک
🚮 => 🚮, ٹوکری؛ ردی
🚰 => 🚰, پانی؛ پینا
♿ => ♿, رسائی؛ کرسی؛ پہیے
🚹 => 🚹, ٹوائلٹ؛ مرد
🚺 => 🚺, ٹوائلٹ؛ عورتیں
🚻 => 🚻, کمرہ؛ ٹوائلٹ
🚼 => 🚼, سائن؛ بے بی
🚾 => 🚾, کمرہ؛ ٹوائلٹ
🛂 => 🛂, پاسپورٹ؛ کنٹرول
🛃 => 🛃, ادارہ؛ کسٹمز
🛄 => 🛄, سامان؛ کلیم
🛅 => 🛅, سامان؛ لاکر؛ محفوظ
⚠ => ⚠, ٹریفک؛ سائن؛ انتباہ
🚸 => 🚸, ٹریفک؛ سائن؛ بچے؛ سڑک
⛔ => ⛔, ٹریفک؛ سائن؛ داخلہ؛ منع
🚫 => 🚫, ٹریفک؛ سائن؛ داخلہ؛ منع
🚳 => 🚳, ٹریفک؛ سائن؛ سائیکل؛ منع
🚭 => 🚭, ٹریفک؛ سائن؛ سگریٹ کشی؛ منع
🚯 => 🚯, سائن؛ کوڑا؛ منع
🚱 => 🚱, سائن؛ پانی؛ پینا؛ منع
🚷 => 🚷, ٹریفک؛ سائن؛ پیدل؛ منع
☢ => ☢, شعاعیں؛ تابکار
☣ => ☣, حیات؛ جاندار؛ نقصان دہ
⬆ => ⬆, سائن؛ سمت؛ تیر؛ شمال
↗ => ↗, سائن؛ سمت؛ تیر؛ شمال مشرق
➡ => ➡, سائن؛ سمت؛ تیر؛ مشرق
↘ => ↘, سائن؛ سمت؛ تیر؛ جنوب مشرق
⬇ => ⬇, سائن؛ سمت؛ تیر؛ جنوب
↙ => ↙, سائن؛ سمت؛ تیر؛ جنوب مغرب
⬅ => ⬅, سائن؛ سمت؛ تیر؛ مغرب
↖ => ↖, سائن؛ سمت؛ تیر؛ شمال مغرب
↕ => ↕, سائن؛ سمت؛ تیر
↔ => ↔, سائن؛ سمت؛ تیر
↩ => ↩, سائن؛ سمت؛ تیر
↪ => ↪, سائن؛ سمت؛ تیر
⤴ => ⤴, سائن؛ سمت؛ تیر
⤵ => ⤵, سائن؛ سمت؛ تیر
🔃 => 🔃, سائن؛ سمت؛ تیر؛ گھڑی کی سمت
🔄 => 🔄, سائن؛ سمت؛ تیر؛ گھڑی کی مخالف سمت
🔙 => 🔙, تیر؛ پیچھے
🔚 => 🔚, تیر؛ اختتام
🔛 => 🔛, تیر؛ آن
🔜 => 🔜, تیر؛ جلد
🔝 => 🔝, تیر؛ اوپر
🛐 => 🛐, مذہب؛ عبادت؛ جگہ
⚛ => ⚛, لادین؛ ایٹم
🕉 => 🕉, مذہب؛ ہندو
✡ => ✡, مذہب؛ ستارہ؛ پیغمبر؛ یہودی؛ داؤد
☸ => ☸, مذہب؛ دھرم؛ پہیہ؛ بدھ مت
☯ => ☯, مذہب؛ ین؛ تاؤ
✝ => ✝, مذہب؛ عیسائیت؛ کراس
☦ => ☦, مذہب؛ عیسائیت؛ کراس
☪ => ☪, مذہب؛ اسلام؛ مسلمان؛ ستارہ و ہلال
☮ => ☮, نشان؛ امن
🕎 => 🕎, مذہب؛ کینڈل اسٹک
🔯 => 🔯, ستارہ؛ قسمت؛ کونے؛ چھ
♻ => ♻, نشان؛ ری سائیکلنگ
📛 => 📛, بیج؛ نام
⚜ => ⚜, پھول؛ پتیاں؛ تین؛ آسٹریلیا
🔰 => 🔰, نشان؛ جاپانی؛ شروعات
🔱 => 🔱, علامت؛ آلہ؛ بحری جہاز؛ اینکر
⭕ => ⭕, علامت؛ دائرہ
✅ => ✅, علامت؛ چیک؛ سفید
☑ => ☑, علامت؛ چیک؛ بیلٹ باکس
✔ => ✔, علامت؛ چیک
✖ => ✖, علامت؛ ضرب
❌ => ❌, علامت؛ کراس
❎ => ❎, علامت؛ کراس؛ بٹن
➕ => ➕, علامت؛ جمع
➖ => ➖, علامت؛ نفی
➗ => ➗, علامت؛ تقسیم
➰ => ➰, رسی؛ کرل ہوئی
➿ => ➿, رسی؛ کرل ہوئی؛ دوہری
〽 => 〽, علامت؛ موسیقار؛ باری
✳ => ✳, علامت؛ اسٹیرسک؛ کانٹے؛ آٹھ
✴ => ✴, علامت؛ ستارہ؛ آٹھ؛ کونے
❇ => ❇, علامت؛ چمک
💱 => 💱, بنک؛ کرنسی؛ رقم؛ تبادلہ
💲 => 💲, بنک؛ کرنسی؛ رقم؛ ڈالر
‼ => ‼, رموزِ اوقاف؛ ندائیہ؛ جذبات
⁉ => ⁉, رموزِ اوقاف؛ ندائیہ؛ سوالیہ
❓ => ❓, رموزِ اوقاف؛ سوالیہ
❔ => ❔, رموزِ اوقاف؛ سوالیہ؛ سفید
❕ => ❕, رموزِ اوقاف؛ ندائیہ؛ سفید
❗ => ❗, رموزِ اوقاف؛ ندائیہ
〰 => 〰, رموزِ اوقاف؛ ڈیش؛ لہردار
© => ©, علامت؛ کاپی رائٹ
® => ®, علامت؛ رجسٹرڈ
™ => ™, نشان؛ تجارت
♈ => ♈, برج؛ حمل
♉ => ♉, برج؛ بیل
♊ => ♊, برج؛ جُڑواں
♋ => ♋, برج؛ کيکڑا
♌ => ♌, برج؛ شیر
♍ => ♍, برج؛ عورت
♎ => ♎, برج؛ میزان
♏ => ♏, برج؛ بچھو
♐ => ♐, برج؛ تیر انداز
♑ => ♑, برج؛ بکرا
♒ => ♒, برج؛ پانی
♓ => ♓, برج؛ مچھلی
⛎ => ⛎, برج؛ سانپ
🔀 => 🔀, ٹریکس؛ بٹن؛ شفل
🔁 => 🔁, ٹریکس؛ بٹن؛ دوہرانہ
🔂 => 🔂, ٹریکس؛ بٹن؛ دوہرانہ؛ ایک دفعہ
▶ => ▶, ٹریکس؛ بٹن؛ چلانا
⏩ => ⏩, ٹریکس؛ بٹن؛ فارورڈ
⏭ => ⏭, ٹریکس؛ بٹن؛ اگلا
⏯ => ⏯, ٹریکس؛ بٹن؛ چلانا؛ روکنا
◀ => ◀, ٹریکس؛ بٹن؛ پیچھے
⏪ => ⏪, ٹریکس؛ بٹن؛ پیچھے
⏮ => ⏮, ٹریکس؛ بٹن؛ آخری
🔼 => 🔼, ٹریکس؛ بٹن؛ اوپر
⏫ => ⏫, ٹریکس؛ بٹن؛ اوپر؛ تیزی
🔽 => 🔽, ٹریکس؛ بٹن؛ نیچے
⏬ => ⏬, ٹریکس؛ بٹن؛ نیچے؛ تیزی
⏸ => ⏸, ٹریکس؛ بٹن؛ وقفہ
⏹ => ⏹, ٹریکس؛ بٹن؛ روکنا
⏺ => ⏺, ٹریکس؛ بٹن؛ ریکارڈ
⏏ => ⏏, ٹریکس؛ بٹن؛ نکالنا
🎦 => 🎦, سینما؛ فلم
🔅 => 🔅, ٹریکس؛ بٹن؛ دھیما
🔆 => 🔆, ٹریکس؛ بٹن؛ روشن
📶 => 📶, موبائل؛ فون؛ سگنلز؛ انٹینا؛ بار
📵 => 📵, موبائل؛ فون؛ منع
📳 => 📳, موبائل؛ فون؛ وائبریشن
📴 => 📴, موبائل؛ فون؛ بند
#⃣ => #⃣, سائن؛ ہیش؛ کی کیپ
*⃣ => *⃣, سائن؛ اسٹیرسک؛ کی کیپ
0⃣ => 0⃣, کی کیپ؛ صفر
1⃣ => 1⃣, کی کیپ؛ ایک
2⃣ => 2⃣, کی کیپ؛ دو
3⃣ => 3⃣, کی کیپ؛ تین
4⃣ => 4⃣, کی کیپ؛ چار
5⃣ => 5⃣, کی کیپ؛ پانچ
6⃣ => 6⃣, کی کیپ؛ چھ
7⃣ => 7⃣, کی کیپ؛ سات
8⃣ => 8⃣, کی کیپ؛ آٹھ
9⃣ => 9⃣, کی کیپ؛ نو
🔟 => 🔟, کی کیپ؛ دس
💯 => 💯, اسکور؛ سو؛ پورے
🔞 => 🔞, سائن؛ عمر؛ اٹھارہ؛ پابندی
🔠 => 🔠, ان پٹ؛ حروف؛ لاطینی؛ بڑے
🔡 => 🔡, ان پٹ؛ حروف؛ لاطینی؛ چھوٹے
🔢 => 🔢, ان پٹ؛ اعداد
🔣 => 🔣, ان پٹ؛ علامات
🔤 => 🔤, ان پٹ؛ لاطینی؛ حروف
🅰 => 🅰, اے؛ خون
🆎 => 🆎, اے بی؛ خون
🅱 => 🅱, بی؛ خون
🆑 => 🆑, cl؛ چوکور
🆒 => 🆒, چوکور؛ کول
🆓 => 🆓, چوکور؛ فراغت
ℹ => ℹ, معلومات؛ ماخذ
🆔 => 🆔, چوکور؛ id
Ⓜ => Ⓜ, حرف؛ گول؛ m
🆕 => 🆕, چوکور؛ نیا
🆖 => 🆖, چوکور؛ ng
🅾 => 🅾, بٹن؛ o
🆗 => 🆗, چوکور؛ ok
🅿 => 🅿, بٹن؛ p
🆘 => 🆘, چوکور؛ sos
🆙 => 🆙, بٹن؛ اوپر
🆚 => 🆚, چوکور؛ vs
🈁 => 🈁, چاپانی؛ چوکور
🈂 => 🈂, جاپانی؛ چوکور
🈷 => 🈷, جاپانی؛ چوکور؛ چاند؛ تصویری علامت
🈶 => 🈶, جاپانی؛ چوکور؛ موجودگی؛ تصویری علامت
🈯 => 🈯, جاپانی؛ چوکور؛ انگلی؛ تصویری علامت
🉐 => 🉐, جاپانی؛ فائدہ؛ دائرہ؛ تصویری علامت
🈹 => 🈹, جاپانی؛ چوکور؛ تقسیم؛ تصویری علامت
🈚 => 🈚, جاپانی؛ چوکور؛ نفی؛ تصویری علامت
🈲 => 🈲, جاپانی؛ چوکور؛ ممانعت؛ تصویری علامت
🉑 => 🉑, چینی؛ گول؛ منظوری؛ تصویری علامت
🈸 => 🈸, چینی؛ چوکور؛ اپلائی؛ تصویری علامت
🈴 => 🈴, چینی؛ چوکور؛ اکٹھے؛ تصویری علامت
🈳 => 🈳, چینی؛ چوکور؛ خالی؛ تصویری علامت
㊗ => ㊗, چینی؛ گول؛ مبارکباد؛ تصویری علامت
㊙ => ㊙, چینی؛ گول؛ خفیہ؛ تصویری علامت
🈺 => 🈺, چینی؛ چوکور؛ آپریشن؛ تصویری علامت
🈵 => 🈵, چینی؛ چوکور؛ کاملیت؛ تصویری علامت
▪ => ▪, جیومیٹری؛ چوکور؛ کالا
▫ => ▫, جیومیٹری؛ چوکور؛ سفید؛ چھوٹا
◻ => ◻, جیومیٹری؛ چوکور؛ میڈِم؛ سفید
◼ => ◼, جیومیٹری؛ چوکور؛ میڈیم؛ کالا
◽ => ◽, جیومیٹری؛ چوکور؛ سفید؛ میڈِم؛ چھوٹا
◾ => ◾, جیومیٹری؛ چوکور؛ کالا؛ میڈیم؛ چھوٹا
⬛ => ⬛, جیومیٹری؛ چوکور؛ کالا؛ بڑا
⬜ => ⬜, جیومیٹری؛ چوکور؛ سفید؛ بڑا
🔶 => 🔶, ہیرا؛ جیومیٹری؛ نارنجی
🔷 => 🔷, ہیرا؛ جیومیٹری؛ نیلا
🔸 => 🔸, ہیرا؛ جیومیٹری؛ نارنجی
🔹 => 🔹, ہیرا؛ جیومیٹری؛ نیلا
🔺 => 🔺, جیومیٹری؛ مثلث؛ نارنجی
🔻 => 🔻, جیومیٹری؛ مثلث؛ نارنجی
💠 => 💠, جیومیٹری؛ ہیرا؛ نکتہ
🔘 => 🔘, جیومیٹری؛ بٹن؛ ریڈیو
🔲 => 🔲, جیومیٹری؛ چوکور؛ کالا؛ بٹن
🔳 => 🔳, جیومیٹری؛ چوکور؛ سفید؛ بٹن
⚪ => ⚪, دائرہ؛ جیومیٹری؛ سفید
⚫ => ⚫, دائرہ؛ جیومیٹری؛ کالا
🔴 => 🔴, دائرہ؛ جیومیٹری؛ سرخ
🔵 => 🔵, دائرہ؛ جیومیٹری؛ نیلا
🇦🇨 => 🇦🇨, اسینشن آئلینڈ
🇦🇩 => 🇦🇩, انڈورا
🇦🇪 => 🇦🇪, متحدہ عرب امارات
🇦🇫 => 🇦🇫, افغانستان
🇦🇬 => 🇦🇬, انٹیگوا اور باربودا
🇦🇮 => 🇦🇮, انگوئیلا
🇦🇱 => 🇦🇱, البانیہ
🇦🇲 => 🇦🇲, آرمینیا
🇦🇴 => 🇦🇴, انگولا
