😀 => 😀, صورت؛ خنده
🎠 => 🎠, چرخ و فلک؛ اسب
🎡 => 🎡, شهر بازی؛ چرخ و فلک؛ چرخ
🎢 => 🎢, شهر بازی؛ ترن هوایی؛ رولر
💈 => 💈, آرایشگر؛ سلمانی؛ کوتاه کردن مو؛ نماد؛ چراغ
🎪 => 🎪, سیرک؛ چادر
🎭 => 🎭, هنر؛ ماسک؛ تئاتر؛ نمایش؛ سالن تئاتر
🖼 => 🖼, هنر؛ قاب؛ موزه؛ نقاشی؛ تصویر
🎨 => 🎨, هنر؛ موزه؛ نقاشی؛ پالت
🎰 => 🎰, بازی؛ اسلات؛ کازینو؛ قمار
🚂 => 🚂, موتور؛ ریل؛ بخار؛ قطار؛ وسیله نقلیه
🚃 => 🚃, خودرو؛ الکتریکی؛ ریل؛ قطار؛ تراموا؛ واگن؛ وسیله نقلیه
🚄 => 🚄, ریل؛ سریع‌السیر؛ سرعت؛ قطار؛ وسیله نقلیه
🚅 => 🚅, گلوله؛ ریل؛ سریع‌السیر؛ سرعت؛ قطار؛ وسیله نقلیه
🚆 => 🚆, ریل؛ وسیله نقلیه
🚇 => 🚇, مترو؛ وسیله نقلیه؛ قطار شهری
🚈 => 🚈, ریل؛ وسیله نقلیه
🚉 => 🚉, ریل؛ قطار؛ وسیله نقلیه
🚊 => 🚊, تراموا؛ وسیله نقلیه
🚝 => 🚝, وسیله نقلیه
🚞 => 🚞, خودرو؛ کوهستان؛ ریل؛ وسیله نقلیه
🚋 => 🚋, خودرو؛ تراموا؛ واگن؛ وسیله نقلیه
🚌 => 🚌, وسیله نقلیه
🚍 => 🚍, اتوبوس؛ در حال آمدن؛ وسیله نقلیه
🚎 => 🚎, اتوبوس؛ تراموا؛ برقی؛ وسیله نقلیه
🚏 => 🚏, اتوبوس؛ ایستگاه؛ توقف
🚐 => 🚐, اتوبوس؛ وسیله نقلیه
🚑 => 🚑, وسیله نقلیه
🚒 => 🚒, موتور؛ آتش؛ کامیون؛ وسیله نقلیه
🚓 => 🚓, خودرو؛ پاترول؛ پلیس؛ وسیله نقلیه
🚔 => 🚔, خودرو؛ در حال آمدن؛ پلیس؛ وسیله نقلیه
🚕 => 🚕, وسیله نقلیه
🚖 => 🚖, در حال آمدن؛ تاکسی؛ وسیله نقلیه
🚗 => 🚗, خودرو؛ وسیله نقلیه
🚘 => 🚘, اتومبیل؛ خودرو؛ در حال آمدن؛ وسیله نقلیه
🚙 => 🚙, کاروان؛ آروی؛ وسیله نقلیه
🚚 => 🚚, تحویل؛ کامیون؛ حمل‌ونقل؛ وسیله نقلیه
🚛 => 🚛, مفصلی؛ کامیون؛ ماشین سنگین؛ وسیله نقلیه
🚜 => 🚜, وسیله نقلیه
🚲 => 🚲, دوچرخه؛ وسیله نقلیه
⛽ => ⛽, سوخت؛ بنزین؛ گاز؛ گازوئیل؛ پمپ؛ ایستگاه
🛣 => 🛣, شاهراه؛ جاده
🛤 => 🛤, ریل؛ قطار
🚨 => 🚨, آژیر؛ خودرو؛ چراغ؛ پلیس؛ وسیله نقلیه
🚥 => 🚥, چراغ؛ علامت؛ ترافیک
🚦 => 🚦, چراغ؛ علامت؛ ترافیک
🚧 => 🚧, مانع؛ سد
⚓ => ⚓, کشتی؛ ابزار
⛵ => ⛵, قایق؛ تفریح؛ دریا؛ وسیله نقلیه؛ کرجی
🚣 => 🚣, قایق؛ وسیله نقلیه
🚤 => 🚤, قایق؛ وسیله نقلیه
🛳 => 🛳, مسافر؛ کشتی؛ وسیله نقلیه
⛴ => ⛴, قایق
🛥 => 🛥, قایق؛ قایق موتوری؛ وسیله نقلیه
🚢 => 🚢, وسیله نقلیه
✈ => ✈, وسیله نقلیه
🛩 => 🛩, هواپیما؛ وسیله نقلیه
🛫 => 🛫, هواپیما؛ ورود؛ حرکت؛ خروج؛ وسیله نقلیه
🛬 => 🛬, هواپیما؛ ورود؛ فرود؛ به زمین نشستن؛ وسیله نقلیه
🚁 => 🚁, وسیله نقلیه
🚟 => 🚟, ریل؛ معلق؛ وسیله نقلیه
🚠 => 🚠, کابل؛ کوهستان؛ کابین؛ وسیله نقلیه
🚡 => 🚡, هوایی؛ کابل؛ خودرو؛ طناب نقاله؛ تراموا؛ وسیله نقلیه
🚀 => 🚀, فضا؛ وسیله نقلیه
🛰 => 🛰, فضا؛ وسیله نقلیه
🛎 => 🛎, زنگ؛ پذیرش؛ هتل؛ لابی
🛌 => 🛌, هتل؛ خوابیدن
🛏 => 🛏, هتل؛ خوابیدن
🛋 => 🛋, مبل؛ هتل؛ چراغ
🚿 => 🚿, آب
🛀 => 🛀, وان حمام؛ حمام
🛁 => 🛁, حمام
⌛ => ⌛, شن؛ تایمر
⏳ => ⏳, ساعت شنی؛ شن؛ تایمر
⌚ => ⌚, ساعت
⏰ => ⏰, زنگ ساعت؛ ساعت
⏱ => ⏱, ساعت
⏲ => ⏲, ساعت؛ تایمر
🕰 => 🕰, ساعت
🕛 => 🕛, ۰۰؛ ۱۲؛ ۱۲:۰۰؛ ساعت؛ دوازده
🕧 => 🕧, ۳۰؛ ۱۲؛ ۱۲:۳۰؛ ساعت؛ دوازده؛ نیم
🕐 => 🕐, ۰۰؛ ۱؛ ۱:۰۰؛ ساعت؛ یک
🕜 => 🕜, ۳۰؛ ۱؛ ۱:۳۰؛ ساعت؛ یک؛ نیم
🕑 => 🕑, ۰۰؛ ۲؛ ۲:۰۰؛ ساعت؛ دو
🕝 => 🕝, ۳۰؛ ۲؛ ۲:۳۰؛ ساعت؛ دو؛ نیم
🕒 => 🕒, ۰۰؛ ۳؛ ۳:۰۰؛ ساعت؛ سه
🕞 => 🕞, ۳۰؛ ۳؛ ۳:۳۰؛ ساعت؛ سه؛ نیم
🕓 => 🕓, ۰۰؛ ۴؛ ۴:۰۰؛ ساعت؛ چهار
🕟 => 🕟, ۳۰؛ ۴؛ ۴:۳۰؛ ساعت؛ چهار؛ نیم
🕔 => 🕔, ۰۰؛ ۵؛ ۵:۰۰؛ ساعت؛ پنج
🕠 => 🕠, ۳۰؛ ۵؛ ۵:۳۰؛ ساعت؛ پنج؛ نیم
🕕 => 🕕, ۰۰؛ ۶؛ ۶:۰۰؛ ساعت؛ شش
🕡 => 🕡, ۳۰؛ ۶؛ ۶:۳۰؛ ساعت؛ شش؛ نیم
🕖 => 🕖, ۰۰؛ ۷؛ ۷:۰۰؛ ساعت؛ هفت
🕢 => 🕢, ۳۰؛ ۷؛ ۷:۳۰؛ ساعت؛ هفت؛ نیم
🕗 => 🕗, ۰۰؛ ۸؛ ۸:۰۰؛ ساعت؛ هشت
🕣 => 🕣, ۳۰؛ ۸؛ ۸:۰۰؛ ساعت؛ هشت؛ نیم
🕘 => 🕘, ۰۰؛ ۹؛ ۹:۰۰؛ ساعت؛ نه
🕤 => 🕤, ۳۰؛ ۹؛ ۹:۳۰؛ ساعت؛ نه؛ نیم
🕙 => 🕙, ۰۰؛ ۱۰؛ ۱۰:۰۰؛ ساعت؛ ده
🕥 => 🕥, ۳۰؛ ۱۰؛ ۱۰:۳۰؛ ساعت؛ ده؛ نیم
🕚 => 🕚, ۰۰؛ ۱۱؛ ۱۱:۰۰؛ ساعت؛ یازده
🕦 => 🕦, ۳۰؛ ۱۱؛ ۱۱:۳۰؛ ساعت؛ یازده؛ نیم
🌑 => 🌑, تاریک؛ ماه؛ فضا؛ آب‌وهوا
🌒 => 🌒, هلال؛ ماه؛ فضا؛ سوی ماه تمام؛ آب‌وهوا
🌓 => 🌓, ماه؛ یک‌چهارم؛ فضا؛ آب‌وهوا
🌔 => 🌔, برآمدگی؛ ماه؛ فضا؛ آب‌وهوا
🌕 => 🌕, کامل؛ تمام؛ ماه؛ فضا؛ آب‌وهوا
🌖 => 🌖, برآمدگی؛ ماه؛ فضا؛ به سوی تاریکی؛ آب‌وهوا
🌗 => 🌗, ماه؛ یک‌چهارم؛ فضا؛ آب‌وهوا
🌘 => 🌘, هلال؛ ماه؛ فضا؛ سوی کمرنگی؛ آب‌وهوا
🌙 => 🌙, هلال؛ ماه؛ فضا؛ آب‌وهوا
🌚 => 🌚, صورت؛ ماه؛ فضا؛ آب‌وهوا
🌛 => 🌛, صورت؛ ماه؛ یک‌چهارم؛ فضا؛ آب‌وهوا
🌜 => 🌜, صورت؛ ماه؛ یک‌چهارم؛ فضا؛ آب‌وهوا
🌡 => 🌡, آب‌وهوا
☀ => ☀, روشن؛ اشعه؛ فضا؛ خورشیدی؛ آب‌وهوا
🌝 => 🌝, روشن؛ صورت؛ تمام؛ ماه؛ فضا؛ آب‌وهوا
🌞 => 🌞, روشن؛ صورت؛ خورشید؛ فضا؛ آب‌وهوا
⭐ => ⭐, ستاره
🌟 => 🌟, درخشان؛ فروزان؛ جرقه؛ ستاره
🌠 => 🌠, افتادن؛ دنباله‌دار؛ فضا؛ سریع؛ ستاره
☁ => ☁, آب‌وهوا
⛅ => ⛅, ابر؛ خورشید؛ آب‌وهوا
⛈ => ⛈, ابر؛ باران؛ رعدوبرق؛ آب‌وهوا
🌤 => 🌤, ابر؛ خورشید؛ آب‌وهوا
🌥 => 🌥, ابر؛ خورشید؛ آب‌وهوا
🌦 => 🌦, ابر؛ باران؛ خورشید؛ آب‌وهوا
🌧 => 🌧, ابر؛ باران؛ آب‌وهوا
🌨 => 🌨, ابر؛ سرما؛ برف؛ آب‌وهوا
🌩 => 🌩, ابر؛ رعدوبرق؛ آب‌وهوا
🌪 => 🌪, ابر؛ آب‌وهوا؛ گردباد
🌫 => 🌫, ابر؛ آب‌وهوا
🌬 => 🌬, وزیدن؛ ابر؛ صورت؛ آب‌وهوا؛ باد
🌀 => 🌀, پیچند؛ طوفان موسمی؛ آب‌وهوا
🌈 => 🌈, باران؛ آب‌وهوا
🌂 => 🌂, پوشاک؛ باران؛ چتر؛ آب‌وهوا
☂ => ☂, پوشاک؛ باران؛ چتر؛ آب‌وهوا
☔ => ☔, پوشاک؛ باران؛ چتر؛ قطره باران؛ آب‌وهوا
⛱ => ⛱, باران؛ خورشید؛ چتر؛ آب‌وهوا
⚡ => ⚡, خطر؛ الکتریسیته؛ برق؛ ولتاژ
❄ => ❄, سرما؛ برف؛ آب‌وهوا
☃ => ☃, سرما؛ برف؛ آب‌وهوا
⛄ => ⛄, سرما؛ برف؛ آدم برفی؛ آب‌وهوا
☄ => ☄, فضا
🔥 => 🔥, آتش؛ ابزار
💧 => 💧, سرما؛ مصور؛ کمیک؛ قطره؛ عرق؛ آب‌وهوا
🌊 => 🌊, اقیانوس؛ آب؛ موج؛ آب‌وهوا
🎃 => 🎃, جشن؛ هالووین؛ فانوس
🎄 => 🎄, جشن؛ کریسمس؛ درخت
🎆 => 🎆, جشن
🎇 => 🎇, جشن؛ آتش‌بازی؛ فشفشه
✨ => ✨, درخشش؛ ستاره
🎈 => 🎈, جشن
🎉 => 🎉, جشن؛ مهمانی؛ کاغذ رنگی
🎊 => 🎊, توپ؛ جشن؛ پولک
🎋 => 🎋, بنر؛ جشن؛ ژاپنی؛ درخت
🎌 => 🎌, جشن؛ صلیب؛ ژاپنی
🎍 => 🎍, بامبو؛ جشن؛ ژاپنی؛ کاج؛ گیاه
🎎 => 🎎, جشن؛ عروسک؛ فستیوال؛ ژاپنی
🎏 => 🎏, پرچم؛ ماهی؛ جشن
🎐 => 🎐, توپ؛ جشن؛ بادسنج؛ باد
🎑 => 🎑, شن؛ مراسم؛ ماه
🎀 => 🎀, جشن
🎁 => 🎁, جعبه؛ جشن؛ کادو؛ هدیه؛ پیچیده
🎖 => 🎖, جشن؛ مدال؛ نظامی
🎗 => 🎗, جشن؛ یادآوری؛ روبان
🎞 => 🎞, سینما؛ فیلم؛ فریم
🎟 => 🎟, چسب؛ بلیت
⚽ => ⚽, توپ؛ فوتبال
⚾ => ⚾, توپ
🏀 => 🏀, توپ
🏈 => 🏈, توپ؛ آمریکایی؛ فوتبال
🏉 => 🏉, توپ؛ فوتبال؛ راگبی
🎾 => 🎾, توپ؛ راکت
🎱 => 🎱, ۸؛ ۸ توپ؛ بال؛ بیلیارد؛ هشت؛ بازی
🎳 => 🎳, توپ؛ بازی
⛳ => ⛳, گلف؛ سوراخ
🏌 => 🏌, توپ؛ گلف
⛸ => ⛸, یخ؛ اسکی
🎣 => 🎣, ماهی؛ چوب
🎽 => 🎽, دویدن؛ بلوز
🎿 => 🎿, اسکی؛ برف
⛷ => ⛷, اسکی؛ برف
🏂 => 🏂, اسکی؛ برف؛ اسنوبرد
🏄 => 🏄, موج‌سواری
🏇 => 🏇, اسب؛ مسابقه؛ اسب‌سواری
🏊 => 🏊, شنا
⛹ => ⛹, توپ
🏋 => 🏋, وزنه؛ بلند کردن
🚴 => 🚴, دوچرخه؛ دوچرخه‌سوار
🚵 => 🚵, دوچرخه؛ دوچرخه‌سوار؛ کوهستان
🏎 => 🏎, خودرو؛ مسابقه
🏍 => 🏍, مسابقه
🏅 => 🏅, مدال
🏆 => 🏆, جایزه
🏏 => 🏏, توپ؛ دسته؛ بازی
🏐 => 🏐, توپ؛ بازی
🏑 => 🏑, توپ؛ چمن؛ بازی؛ هاکی؛ دسته
🏒 => 🏒, بازی؛ هاکی؛ یخ؛ دسته
🏓 => 🏓, توپ؛ دسته؛ راکت؛ میز؛ تنیس
🏸 => 🏸, بازی؛ راکت
🎯 => 🎯, دارت؛ بازی؛ پرتاب؛ چشم؛ برخورد؛ هدف
🎮 => 🎮, کنترل‌کننده؛ دسته؛ بازی
🕹 => 🕹, بازی؛ بازی ویدیویی
🎲 => 🎲, تاس؛ بازی
♠ => ♠, کارت؛ بازی؛ خال؛ پیک
♥ => ♥, کارت؛ بازی؛ خال؛ دل
♦ => ♦, کارت؛ بازی؛ خال؛ خشت
♣ => ♣, کارت؛ بازی؛ خال؛ گشنیز
🃏 => 🃏, کارت؛ بازی؛ جوکر؛ شیطان
🀄 => 🀄, بازی؛ ماژونگ؛ قرمز
🎴 => 🎴, کارت؛ گل؛ بازی؛ ژاپنی
🔇 => 🔇, بی‌صدا؛ ساکت؛ آرام؛ بلندگو؛ میزان صدا
🔈 => 🔈, صدا
🔉 => 🔉, پایین؛ بلندگو؛ صدا؛ موج
🔊 => 🔊, ۳؛ زیاد؛ بلند؛ بلندگو؛ سه؛ صدا
📢 => 📢, بلند؛ عمومی؛ آدرس
📣 => 📣, تشویق؛ بلند؛ بلندگو؛ هلهله
📯 => 📯, شیپور؛ پست
🔕 => 🔕, زنگوله؛ ممنوع؛ بی‌صدا؛ نه؛ خیر؛ ساکت؛ آرام
🎼 => 🎼, موسیقی؛ نت
🎵 => 🎵, موسیقی؛ نت
🎶 => 🎶, موسیقی؛ نت
🎙 => 🎙, میکروفون؛ موسیقی؛ استودیو
🎚 => 🎚, میزان؛ موسیقی؛ لغزنده
🎛 => 🎛, کنترل؛ دسته؛ موسیقی
🎤 => 🎤, کارائوکه؛ میکروفون
🎷 => 🎷, ساز؛ موسیقی؛ ساکسیفون
🎸 => 🎸, ساز؛ موسیقی
🎹 => 🎹, ساز؛ موسیقی؛ کیبورد؛ پیانو
🎺 => 🎺, ساز؛ موسیقی
🎻 => 🎻, ساز؛ موسیقی
📱 => 📱, تلفن؛ همراه؛ گوشی؛ موبایل
📲 => 📲, پیکان؛ تلفن همراه؛ گوشی؛ دریافت
📞 => 📞, تلفن؛ گوشی؛ گیرنده
🔌 => 🔌, الکتریسیته؛ الکتریکی؛ دوشاخه
💻 => 💻, رایانه؛ پی‌سی؛ شخصی
🖥 => 🖥, رایانه؛ رومیزی
🖨 => 🖨, رایانه؛ چاپگر
⌨ => ⌨, رایانه
🖱 => 🖱, ۳؛ دکمه؛ رایانه؛ موشواره؛ سه
🖲 => 🖲, رایانه
💽 => 💽, رایانه؛ دیسک؛ مینی دیسک؛ نوری
💾 => 💾, رایانه؛ دیسک؛ فلاپی
💿 => 💿, دی‌وی‌دی؛ بلوری؛ سی‌دی؛ رایانه؛ دیسک؛ نوری؛ لوح فشرده
📀 => 📀, بلوری؛ سی‌دی؛ رایانه؛ دیسک؛ نوری
🎥 => 🎥, سینما؛ دوربین؛ فیلم
🎬 => 🎬, کلاکت؛ تخته‌نشان؛ فیلم
📽 => 📽, سینما؛ فیلم؛ پروژکتور؛ ویدیو
📺 => 📺, تلویزیون؛ ویدیو
📷 => 📷, ویدیو
📸 => 📸, دوربین؛ فلاش؛ ویدیو
📹 => 📹, دوربین؛ ویدیو
📼 => 📼, نوار؛ وی‌اچ‌اس؛ ویدیو
🔍 => 🔍, شیشه؛ ذره‌بین؛ جستجو؛ ابزار
🔎 => 🔎, شیشه؛ ذره‌بین؛ جستجو؛ ابزار
🔬 => 🔬, ابزار
🔭 => 🔭, ابزار
📡 => 📡, آنتن؛ دیش؛ بشقاب؛ ماهواره
🕯 => 🕯, نور
💡 => 💡, حباب؛ لامپ؛ الکتریسیته؛ نور؛ ایده؛ برق
🔦 => 🔦, الکتریسیته؛ نور؛ ابزار؛ مشعل
🏮 => 🏮, نوار؛ ژاپنی؛ فانوس؛ نور؛ قرمز
📔 => 📔, کتاب؛ جلد؛ یادداشت؛ دفتر؛ تزئینی؛ سخت؛ وزیری
📕 => 📕, کتاب؛ بسته
📖 => 📖, کتاب؛ باز
📗 => 📗, کتاب؛ سبز
📘 => 📘, کتاب؛ آبی
📙 => 📙, کتاب؛ نارنجی
📚 => 📚, کتاب
📒 => 📒, دفتر
📃 => 📃, تا؛ جمع‌شده؛ سند؛ صفحه
📜 => 📜, کاغذ
📄 => 📄, سند؛ صفحه
📰 => 📰, اخبار؛ صفحه
🗞 => 🗞, اخبار؛ روزنامه؛ کاغذ؛ رل
📑 => 📑, نشانه؛ علامت؛ علامت‌گذار؛ زبانه
🔖 => 🔖, علامت
💰 => 💰, کیف؛ دلار؛ پول
💴 => 💴, بانک؛ اسکناس؛ ارز؛ پول؛ ین
💵 => 💵, بانک؛ اسکناس؛ ارز؛ پول؛ دلار
💶 => 💶, بانک؛ اسکناس؛ ارز؛ پول؛ یورو
💷 => 💷, بانک؛ اسکناس؛ ارز؛ پول؛ پوند
💸 => 💸, بانک؛ اسکناس؛ ارز؛ پول؛ بال
💳 => 💳, بانک؛ کارت؛ اعتبار؛ پول
💹 => 💹, بانک؛ نمودار؛ ارز؛ گراف؛ رشد؛ بازار؛ پول؛ صعود؛ گرایش؛ روند؛ صعودی؛ ین
✉ => ✉, ایمیل
📧 => 📧, ایمیل؛ نامه؛ میل
📨 => 📨, ایمیل؛ پاکت نامه؛ ورودی؛ نامه؛ پست؛ دریافت
📩 => 📩, پیکان؛ پایین؛ ایمیل؛ پاکت نامه؛ نامه؛ پست؛ خروجی؛ ارسال
📤 => 📤, صندوق؛ نامه؛ پست؛ ایمیل؛ صندوق خروجی؛ ارسال؛ سینی
📥 => 📥, صندوق؛ ورودی؛ نامه؛ پست؛ دریافت؛ سینی
📦 => 📦, صندوق؛ بسته پستی
📫 => 📫, بسته؛ پست؛ صندوق پست؛ صندوق پستی
📪 => 📪, بسته؛ پایین آمده؛ پست؛ صندوق پستی؛ صندوق پست
📬 => 📬, پست؛ صندوق پستی؛ باز؛ صندوق پست
📭 => 📭, پست؛ صندوق پستی؛ باز؛ صندوق پست؛ پایین آمده
📮 => 📮, پست؛ صندوق پستی
🗳 => 🗳, رأی؛ صندوق
✒ => ✒, قلم؛ نوک
📝 => 📝, مداد
💼 => 💼, کیف اسناد؛ سامسونت
📁 => 📁, پوشه؛ فایل؛ پرونده
📂 => 📂, فایل؛ پوشه؛ باز
🗂 => 🗂, کارت؛ جداکننده؛ راهنما
📅 => 📅, تاریخ
📆 => 📆, تقویم
🗒 => 🗒, یادداشت؛ سیمی؛ صفحه
🗓 => 🗓, تقویم؛ سیمی؛ صفحه
📇 => 📇, کارت؛ راهنما
📈 => 📈, نمودار؛ گراف؛ رشد؛ گرایش؛ صعودی
📉 => 📉, نمودار؛ پایین؛ گراف؛ گرایش
📊 => 📊, ستون؛ نمودار؛ گراف
📌 => 📌, سنجاق؛ پین
📍 => 📍, پین؛ سنجاق ته‌گرد
🖇 => 🖇, اتصال؛ گیره کاغذ
📏 => 📏, خط‌کش؛ صاف
📐 => 📐, خط‌کش؛ گونیا
✂ => ✂, ابزار
🗃 => 🗃, جعبه؛ کارت؛ فایل؛ پرونده
🗄 => 🗄, کابینت؛ کشو؛ پرونده؛ فایل
🗑 => 🗑, سطل زباله
🔒 => 🔒, بسته
🔓 => 🔓, قفل؛ باز؛ قفل باز
🔏 => 🔏, جوهر؛ قفل؛ قلم؛ حریم خصوصی
🔐 => 🔐, بسته؛ کلید؛ قفل؛ امن
🔑 => 🔑, قفل؛ گذرواژه
🗝 => 🗝, سرنخ؛ کلید؛ قدیمی؛ قفل
🔨 => 🔨, ابزار
⛏ => ⛏, ابزار
⚒ => ⚒, چکش؛ کلنگ؛ ابزار
🛠 => 🛠, چکش؛ ابزار؛ آچار
🔧 => 🔧, ابزار
🔩 => 🔩, پیچ؛ مهره؛ ابزار
⚙ => ⚙, ابزار
🗜 => 🗜, ابزار؛ پرس؛ صحافی
⚗ => ⚗, شیمی؛ ابزار؛ کیمیاگری
⚖ => ⚖, ترازو؛ عدالت؛ آزادی؛ معیار؛ ابزار, وزن؛ زودیاک؛ برج فلکی
💉 => 💉, پزشک؛ دکتر؛ دارو؛ سوزن؛ آمپول؛ شات؛ بیمار؛ مریض؛ ابزار
💊 => 💊, پزشک؛ دارو؛ بیمار
🗡 => 🗡, چاقو؛ اسلحه
🔪 => 🔪, آشپزی؛ ساطور؛ چاقو؛ ابزار؛ اسلحه
⚔ => ⚔, صلیب؛ متقاطع؛ شمشیر؛ اسلحه
🔫 => 🔫, تفنگ؛ ابزار؛ اسلحه؛ رولور
🛡 => 🛡, اسلحه
🏹 => 🏹, تیر؛ پیکان؛ کمان؛ ابزار؛ اسلحه؛ زودیاک؛ برج فلکی
🏁 => 🏁, شطرنجی؛ مسابقه
🏳 => 🏳, اهتزاز
🏴 => 🏴, اهتزاز
🚩 => 🚩, پست
🚬 => 🚬, سیگار کشیدن
⚰ => ⚰, مرگ
⚱ => ⚱, مرگ؛ سوزاندن؛ خاکستردان
🗿 => 🗿, صورت؛ موأی؛ پیکره
🛢 => 🛢, نفت؛ بشکه
🔮 => 🔮, توپ؛ کریستال؛ جن و پری؛ فانتزی؛ طالع‌بینی؛ بخت؛ ابزار
🏧 => 🏧, خودپرداز؛ دستگاه
🚮 => 🚮, زباله؛ زباله‌دان
🚰 => 🚰, آشامیدنی؛ نوشیدن؛ آب شرب
♿ => ♿, دسترسی؛ معلول
🚹 => 🚹, سرویس بهداشتی؛ توالت؛ مردان
🚺 => 🚺, سرویس بهداشتی؛ توالت؛ زنان
🚻 => 🚻, سرویس بهداشتی؛ توالت
🚼 => 🚼, تعویض؛ پوشک؛ بچه؛ اتاق مادر و کودک
🚾 => 🚾, سرویس بهداشتی؛ توالت
🛂 => 🛂, کنترل؛ گذرنامه
🛄 => 🛄, بار؛ دریافت
🛅 => 🛅, بار؛ امانت؛ چمدان
🚸 => 🚸, کودک؛ عبور؛ عابر پیاده؛ ترافیک
⛔ => ⛔, ورود؛ ممنوع؛ نه؛ خیر؛ ترافیک
🚫 => 🚫, ورود؛ ممنوع؛ نه
🚳 => 🚳, دوچرخه؛ ممنوع؛ نه؛ وسیله نقلیه
🚭 => 🚭, ممنوع؛ نه؛ سیگار کشیدن
🚯 => 🚯, ممنوع؛ زباله؛ نه
🚱 => 🚱, نوشیدن؛ ممنوع؛ نه؛ آشامیدنی؛ آب
🚷 => 🚷, ممنوع؛ نه؛ عابر پیاده
☢ => ☢, رادیواکتیو؛ اشعه
⬆ => ⬆, پیکان؛ جهت اصلی؛ مسیر؛ شمال
↗ => ↗, پیکان؛ جهت فرعی؛ مسیر؛ شمال شرقی
➡ => ➡, پیکان؛ جهت اصلی؛ مسیر؛ شرق
↘ => ↘, پیکان؛ جهت فرعی؛ مسیر؛ جنوب شرقی
⬇ => ⬇, پیکان؛ جهت اصلی؛ مسیر؛ پایین؛ جنوب
↙ => ↙, پیکان؛ جهت فرعی؛ مسیر؛ جنوب غربی
⬅ => ⬅, پیکان؛ جهت اصلی؛ مسیر؛ غرب
↖ => ↖, پیکان؛ جهت فرعی؛ مسیر؛ شمال غربی
↕ => ↕, پیکان
↔ => ↔, پیکان
↩ => ↩, پیکان
↪ => ↪, پیکان
⤴ => ⤴, پیکان
⤵ => ⤵, پیکان؛ پایین
🔃 => 🔃, پیکان؛ جهت حرکت عقربه‌های ساعت؛ تازه‌سازی
🔄 => 🔄, خلاف حرکت عقربه‌های ساعت؛ پیکان
🔙 => 🔙, پیکان؛ برگشت
🔚 => 🔚, پیکان؛ پایان
🔛 => 🔛, پیکان؛ علامت؛ روشن
🔜 => 🔜, پیکان؛ به‌زودی
🔝 => 🔝, پیکان؛ بالا؛ برتر
🛐 => 🛐, مذهب؛ عبادت
⚛ => ⚛, بی‌دین؛ اتم
🕉 => 🕉, مذهب؛ هندو
✡ => ✡, داود؛ یهود؛ یهودی؛ مذهب؛ ستاره
☸ => ☸, بودائی؛ دارما؛ مذهب؛ چرخ
☯ => ☯, مذهب؛ تائو؛ یین؛ یانگ
✝ => ✝, مسیحیت؛ صلیب؛ مذهب
☦ => ☦, مسیحیت؛ صلیب؛ مذهب
☪ => ☪, اسلام؛ مسلمان؛ مذهب
☮ => ☮, صلح
🕎 => 🕎, منورا؛ جای شمع؛ مذهب
🔯 => 🔯, بخت؛ اقبال؛ ستاره
♻ => ♻, بازیافت
📛 => 📛, برچسب؛ نام
🔰 => 🔰, مبتدی؛ ابتدایی؛ سبز؛ ژاپنی؛ برگ؛ ابزار؛ زرد؛ درجه نظامی
🔱 => 🔱, لنگر؛ نیزه؛ کشتی؛ ابزار؛ سه‌شاخه
⭕ => ⭕, حلقه؛ دایره؛ o
✅ => ✅, علامت تأیید
☑ => ☑, علامت تأیید
✔ => ✔, علامت تأیید
✖ => ✖, لغو؛ ضرب؛ ضرب‌در؛ x
❌ => ❌, لغو؛ ضرب؛ ضرب‌در؛ x
❎ => ❎, علامت؛ مربع
➕ => ➕, ریاضی؛ به‌علاوه
➖ => ➖, ریاضی؛ منها
➗ => ➗, ریاضی؛ تقسیم
➰ => ➰, مجعد؛ حلقه
➿ => ➿, حلقه؛ مجعد؛ دوبل؛ دوگانه
〽 => 〽, علامت؛ بخش
✳ => ✳, ستاره
✴ => ✴, ستاره
💱 => 💱, بانک؛ ارز؛ تبدیل ارز؛ پول
💲 => 💲, ارز؛ پول؛ دلار
‼ => ‼, علامت تعجب؛ علامت‌گذاری
⁉ => ⁉, علامت تعجب؛ علامت سؤال؛ علامت‌گذاری
❓ => ❓, علامت؛ علامت‌گذاری؛ سؤال
❔ => ❔, علامت؛ علامت‌گذاری؛ سؤال
❕ => ❕, علامت؛ علامت‌گذاری؛ تعجب
❗ => ❗, علامت؛ علامت‌گذاری؛ تعجب
〰 => 〰, خط؛ علامت‌گذاری؛ موج‌دار
™ => ™, علامت؛ تی‌ام؛ tm؛ علامت تجاری
♈ => ♈, حمل؛ برج؛ فروردین
♉ => ♉, ثور؛ برج؛ اردیبهشت
♊ => ♊, جوزا؛ برج؛ خرداد
♋ => ♋, سرطان؛ برج؛ تیر
♌ => ♌, اسد؛ برج؛ مرداد
♍ => ♍, سنبله؛ برج؛ شهریور
♎ => ♎, میزان؛ برج؛ مهر
♏ => ♏, عقرب؛ برج؛ آبان
♐ => ♐, قوس؛ برج؛ آذر
♑ => ♑, جدی؛ برج؛ دی
♒ => ♒, دلو؛ برج؛ بهمن
♓ => ♓, حوت؛ برج؛ اسفند
⛎ => ⛎, حامل؛ مار؛ حوا، زودیاک؛ برج فلکی
🔀 => 🔀, پیکان؛ متقاطع
🔁 => 🔁, پیکان؛ تکرار
