😀 => 😀, ပြုံးဖြဲဖြဲ၊ မျက်နှာ
🍳 => 🍳, ကြက်ဥ၊ ကျော်၊ ဒယ်အိုး
🏺 => 🏺, ကုံ၊ ချက်ပြုတ်၊ သောက်၊ အိုး၊ ကိရိယာ၊ တန်ဆာပလာ၊ ဆယ့်နှစ်ရာသီခွင်
🌍 => 🌍, ဥရောပ၊ အာဖရိက၊ မြေကြီး၊ ကမ္ဘာလုံး၊ ကမ္ဘာ
🌎 => 🌎, အမေရိက၊ မြေကြီး၊ ကမ္ဘာလုံး၊ ကမ္ဘာ
🌏 => 🌏, အာရှ၊ ဩစတြေးလျ၊ မြေကြီး၊ ကမ္ဘာလုံး၊ ကမ္ဘာ
🌐 => 🌐, လောင်ဂျီတွဒ်များ၊ မြေကြီး၊ ကမ္ဘာလုံး၊ ကမ္ဘာ
🗺 => 🗺, ကမ္ဘာ၊ မြေပုံ
🏔 => 🏔, အေး၊ တောင်၊ ဆီးနှင်း
🌋 => 🌋, ပေါက်ကွဲ၊ တောင်၊ မိုးလေဝသ
🗻 => 🗻, ဖူဂျီ၊ တောင်
🏕 => 🏕, စခန်း၊ နေ
🏖 => 🏖, သောင်ယံ၊ ထီး
🏝 => 🏝, လူသူမရှိ၊ ကျွန်း
🏞 => 🏞, ဥယျာဥ်
🏛 => 🏛, ရှေးရိုး၊ အဆောက်အအုံ
🏗 => 🏗, အဆောက်အအုံ၊ ဆောက်လုပ်ခြင်း
🏘 => 🏘, အိမ်ယာ၊ အဆောက်အအုံ
🏙 => 🏙, အဆောက်အအုံ၊ မြို့
🏚 => 🏚, စွန့်ပစ်နေရာ၊ အိမ်ယာ၊ အဆောက်အအုံ
🏠 => 🏠, အိမ်ယာ၊ အိမ်၊ အဆောက်အအုံ
🏡 => 🏡, ပန်းခြံ၊ အိမ်ယာ၊ အဆောက်အအုံ၊ အိမ်
⛪ => ⛪, အဆောက်အအုံ၊ ခရစ်ယန်း၊ ကားတိုင်၊ ဘာသာရေး
🕋 => 🕋, အစ္စလမ်၊ မူဆလင်၊ ဘာသာရေ:
🕌 => 🕌, အစ္စလမ်၊ မူဆလင်၊ ဘာသာရေ:
🕍 => 🕍, ဂျူး၊ ဂျူးလူမျိုး၊ ဘာသာရေး၊ ဘုရားရှိခိုးကျောင်း
⛩ => ⛩, ရှင်တို၊ ဘာသာရေး၊ ဘုရားကျောင်း
🏢 => 🏢, အဆောက်အအုံ
🏣 => 🏣, ဂျပန်၊ အဆောက်အအုံ၊ စာတိုက်
🏤 => 🏤, ဥရောပ၊ အဆောက်အအုံ၊ စာတိုက်
🏥 => 🏥, ဆရာဝန်၊ ဆေးကုသ၊ အဆောက်အအုံ
🏦 => 🏦, အဆောက်အအုံ
🏨 => 🏨, အဆောက်အအုံ
🏩 => 🏩, အဆောက်အအုံ ချစ်၊ ဟော်တယ်
🏪 => 🏪, ကုန်စုံ၊ စတိုး၊ အဆောက်အအုံ
🏫 => 🏫, အဆောက်အအုံ
🏬 => 🏬, အဆောက်အအုံ၊ ရပ်ကွက်၊ စတိုး
🏭 => 🏭, အဆောက်အအုံ
🏯 => 🏯, အဆောက်အအုံ၊ ဂျပန်၊ ရဲတိုက်
🏰 => 🏰, အဆောက်အအုံ၊ ဥရောပ
💒 => 💒, ဘုရားကျောင်း၊ ချစ်
🗼 => 🗼, တိုကျို၊ မျှော်စင်
🗽 => 🗽, လွတ်လပ်ရေး၊ အထိမ်းအမှတ်
🗾 => 🗾, ဂျပန်၊ မြေပုံ
⛲ => ⛲, ရေပန်း
⛺ => ⛺, ရွက်တဲ၊ စခန်း
🌁 => 🌁, မြူ၊ မိုးလေဝသ
🌃 => 🌃, ကြယ်၊ မိုးလေဝသ၊ ည
🌄 => 🌄, နံနက်၊ တောင်၊ နေ၊ နေထွက်၊ မိုးလေဝသ
🌅 => 🌅, နံနက်၊ နေ၊ မိုးလေဝသ
🌆 => 🌆, အဆောက်အအုံ၊ မြို့၊ နေဝင်၊ ဆည်းဆာ၊ ရှုခင်း၊ မိုးလေဝသ
🌇 => 🌇, အဆောက်အအုံ၊ မြို့၊ နေ၊ မိုးလေဝသ
🌉 => 🌉, ည၊ တံတား၊ မိုးလေဝသ
♨ => ♨, ရေပူစမ်း၊ ပူ၊ စမ်း၊ အငွေ့
🌌 => 🌌, အာကာသ၊ မိုးလေဝသ
🎠 => 🎠, ချားရဟတ်၊ မြင်း
🎡 => 🎡, ပျော်ပွဲရွှင်ပွဲ ပန်းခြံ၊ ရဟတ်
🎢 => 🎢, ပျော်ပွဲရွှင်ပွဲ ပန်းခြံ၊ သည်းဖို၊ ရထား
💈 => 💈, ဆံပင်၊ညှပ်ဆရာ၊ တိုင်
🎭 => 🎭, ဖြေဖျော်မှု၊ ဇာတ်ရုံ၊ ပြဇာတ်၊ အနုပညာ၊ မျက်နှာဖုံး
🖼 => 🖼, အနုပညာ၊ ဘောင်၊ ပန်းချီ၊ ပုံ
🎨 => 🎨, အနုပညာ၊ ပြတိုက်၊ ပန်းချီ၊ ဆေးစပ်ရာ အပြား
🎰 => 🎰, ဂိမ်း၊ ဈေးရောင်းစက်
🚂 => 🚂, အင်ဂျင်၊ သံလမ်း၊ ရထား၊ ယာဥ်
🚃 => 🚃, အင်ဂျင်၊ သံလမ်း၊ ရထား၊ ယာဥ်၊ ရထားတွဲ၊ လျှပ်စစ်၊ ထရော်လီဘတ်စ်၊
🚄 => 🚄, သံလမ်း၊ ရထား၊ ယာဥ်၊ နှုန်း၊ ရှင်ကန်စင်၊ ရထား
🚅 => 🚅, ကျည်ဆံ၊ သံလမ်း၊ ရှင်ကန်စင်၊ နှုန်း၊ ရထား၊ ယာဥ်
🚆 => 🚆, ရထား၊ ယာဥ်
🚇 => 🚇, မြေအောက်၊ ယာဥ်
🚈 => 🚈, သံလမ်း၊ ယာဥ်
🚉 => 🚉, သံလမ်း၊ ရထား၊ ယာဥ်
🚊 => 🚊, ထရော်လီဘတ်စ်၊ ယာဥ်
🚝 => 🚝, ယာဥ်
🚞 => 🚞, တောင်၊ ရထားတွဲ၊ သံလမ်း၊ ယာဥ်
🚋 => 🚋, ရထားတွဲ၊ ဓာတ်ရထား၊ ထရော်လီဘတ်စ်၊ ယာဥ်
🚌 => 🚌, ယာဥ်
🚍 => 🚍, လာနေ၊ ဘတ်စ်ကား၊ ယာဥ်
🚎 => 🚎, ထရော်လီ၊ ဘတ်စ်ကား၊ ဘတ်စ်ကား၊ ဓာတ်ရထား၊ ယာဥ်
🚏 => 🚏, ဘတ်စ်ကား၊ ဘတ်စ်ကား မှတ်တိုင်၊ ရပ်
🚐 => 🚐, ဘတ်စ်ကား၊ ယာဥ်
🚑 => 🚑, ယာဥ်
🚒 => 🚒, အင်ဂျင်၊ မီး၊ ထရပ်ကား၊ ယာဥ်
🚓 => 🚓, ကား၊ ကင်းလှည့်၊ ပုလိပ်၊ ယာဥ်
🚔 => 🚔, လာနေ၊ ကား၊ ပုလိပ်၊ ယာဥ်
🚕 => 🚕, ယာဥ်
🚖 => 🚖, လာနေ၊ တက္ကစီ၊ ယာဥ်
🚗 => 🚗, ကား၊ ယာဥ်
🚘 => 🚘, မော်တော်ကား၊ လာနေ၊ ယာဥ်၊ ကား
🚙 => 🚙, အပန်းဖြေရေး၊ rv၊ ယာဥ်
🚚 => 🚚, ပစ္စည်းပို့၊ ထရပ်ကား၊ ယာဥ်
🚛 => 🚛, လော်ရီ၊ ချိတ်ကား၊ ထရပ်ကား၊ ယာဥ်
🚜 => 🚜, ယာဥ်
🚲 => 🚲, စက်ဘီး၊ ယာဥ်
⛽ => ⛽, လောင်စာ၊ လောင်စာ မှုတ်စက်၊ ဓာတ်ငွေ့၊ မှုတ်စက်၊ ဆိုင်
🛣 => 🛣, ကားလမ်း၊ လမ်း
🛤 => 🛤, သံလမ်း၊ ရထား
🚨 => 🚨, အချက်ပြမီး၊ ကား၊ မီး၊ ပုလိပ်၊ လည်နေ၊ ယာဥ်
🚥 => 🚥, မီး၊ အချက်ပြ၊ ယာဥ်ကြော
🚦 => 🚦, မီး၊ အချက်ပြ၊ ယာဥ်ကြော
🚧 => 🚧, အတားအဆီး
⚓ => ⚓, သင်္ဘော၊ တန်ဆာပလာ
⛵ => ⛵, ရွက်၊ လှေ၊ အပန်းဖြေ၊ ယာဥ်၊ ပင်လယ်
🚣 => 🚣, လှေ၊ ယာဥ်
🚤 => 🚤, လှေ၊ ယာဥ်
🛳 => 🛳, ခရီးသည်၊ သင်္ဘော၊ ယာဥ်
⛴ => ⛴, လှေ
🛥 => 🛥, လှေ၊ ယာဥ်၊ စက်တပ် လှေ
🚢 => 🚢, ယာဥ်
✈ => ✈, ယာဥ်
🛩 => 🛩, လေယာဥ်၊ ယာဥ်
🛫 => 🛫, လေယာဥ်၊ စာရင်းသွင်းခြင်း၊ ထွက်၊ ထွက်ချိန်များ၊ ယာဥ်
🛬 => 🛬, လေယာဥ်၊ ဆိုက်ရောက်၊ ဆိုက်ရောက်နေ၊ ဆင်းနေ၊ ယာဥ်
🚁 => 🚁, ယာဥ်
🚟 => 🚟, သံလမ်း၊ သံကြိုး၊ ယာဥ်
🚠 => 🚠, တောင်၊ သံကြိုး၊ ငွန်ဒိုလာ၊ ယာဥ်
🚡 => 🚡, ဝေဟင်၊ ဓာတ်ရထားလမ်း၊ ကြိုးလမ်း၊ သံကြိုး၊ ဂွန်ဒိုလာ၊ ယာဥ်၊ ရထားတွဲ
🚀 => 🚀, အာကာသ၊ ယာဥ်
🛰 => 🛰, အာကာသ၊ ယာဥ်
🛎 => 🛎, နှိပ်ခေါင်းလောင်း၊ ခေါင်းလောင်း၊ ဟော်တယ်
🛌 => 🛌, ဟော်တယ်၊ အိပ်
🛏 => 🛏, ဟော်တယ်၊ အိပ်
🛋 => 🛋, ဆိုဖာ၊ ဟော်တယ်၊ မီး
🚿 => 🚿, ရေ
🛀 => 🛀, ရေချိုးကန်၊ ရေချိုး
🛁 => 🛁, ရေချိုး
⌛ => ⌛, သဲ၊ တိုင်မား
⏳ => ⏳, သဲနာရီ၊ သဲ၊ တိုင်မား
⌚ => ⌚, နာရီ
⏰ => ⏰, နှိုးစက်၊ နာရီ
⏱ => ⏱, နာရီ
⏲ => ⏲, တိုင်မား၊ နာရီ
🕰 => 🕰, နာရီ
🕛 => 🕛, ၀၀၊ ၁၂၊ ၁၂ ၀၀၊ နာရီ၊ ဆယ့်နှစ်၊ နာရီ
🕧 => 🕧, ၁၂၊ ၁၂၊  ၃၀၊ ၃၀၊ နာရီ၊ ဆယ့်နှစ်၊ နာရီခွဲ
🕐 => 🕐, ၀၀၊ ၁၊ ၁ ၀၀၊ နာရီ၊ တစ်၊ နာရီ
🕜 => 🕜, ၁၊ ၁ ၃၀၊ နာရီ၊ တစ်၊ နာရီခွဲ
🕑 => 🕑, ၀၀၊ ၂၊ ၂ ၀၀၊ နာရီ၊ နှစ်၊ နာရီ
🕝 => 🕝, ၂၊ ၂ ၃၀၊ နာရီ၊ နှစ်၊ နာရီခွဲ
🕒 => 🕒, ၀၀၊ ၃၊ ၃ ၀၀၊ နာရီ၊ သုံး၊ နာရီ
🕞 => 🕞, ၃၊ ၃ ၃၀၊ နာရီ၊ သုံး၊ နာရီခွဲ
🕓 => 🕓, ၀၀၊ ၄၊ ၄ ၀၀၊ နာရီ၊ လေး၊ နာရီ
🕟 => 🕟, ၃၀၊ ၄၊ ၄ ၃၀၊ လေး၊ နာရီခွဲ
🕔 => 🕔, ၀၀၊ ၅၊ ၅ ၀၀၊ ငါး၊ နာရီ
🕠 => 🕠, ၃၀၊ ၅၊ ၅: ၃၀၊ နာရီ၊ ငါး၊ နာရီခွဲ
🕕 => 🕕, ၀၀၊ ၆၊ ၆ ၀၀၊ နာရီ၊ ခြောက်၊ နာရီ
🕡 => 🕡, ၃၀၊ ၆၊ ၆ ၃၀၊ နာရီ၊ ခြောက်၊ နာရီခွဲ
🕖 => 🕖, ၀၀၊ ၇၊ ၇ ၀၀၊ နာရီ၊ ခုနစ်၊ နာရီ
🕢 => 🕢, ၃၀၊ ၇၊ ရ ၃၀၊ နာရီ၊ ခုနစ်၊ နာရီခွဲ
🕗 => 🕗, ၀၀၊ ဂ၊ ၈ ၀၀၊ နာရီ၊ ရှစ်၊ နာရီ
🕣 => 🕣, ၃၀၊ ဂ၊ ၈ ၃၀၊ နာရီ၊ ရှစ်၊ နာရီခွဲ
🕘 => 🕘, ၀၀၊ ၉၊ ၉ ၀၀၊ နာရီ၊ ကိုး၊ နာရီ
🕤 => 🕤, ၃၀၊ ၉၊ ၉ ၃၀၊ နာရီ၊ ကိုး၊ နာရီခွဲ
🕙 => 🕙, ၀၀၊ ၁၀၊ ၁၀ ၀၀၊ နာရီ၊ ဆယ်၊ နာရီ
🕥 => 🕥, ၁၀၊ ၁၀ ၃၀၊ ၃၀၊ နာရီ၊ ဆယ်၊ နာရီခွဲ
🕚 => 🕚, ၀၀၊ ၁၁၊ ၁၁ ၀၀၊ နာရီ၊ ဆယ့်တစ်၊ နာရီ
🕦 => 🕦, ၁၁၊ ၁၁ ၃၀၊ ၃၀၊ နာရီ၊ ဆယ့်တစ်၊ နာရီခွဲ
🌑 => 🌑, မှောင်မည်း၊ လ၊ အာကာသ၊ မိုးလေဝသ
🌒 => 🌒, လခြမ်း၊ လ၊ အာကာသ၊ လဆန်း၊ မိုးလေဝသ
🌓 => 🌓, လ၊ လေးပုံတစ်ပုံ၊ မိုးလေဝသ
🌔 => 🌔, လပြည့်ခါနီး၊ လ အာကာသ၊ လဆန်း၊ မိုးလေဝသ
🌕 => 🌕, လ၊ အပြည့်၊ အာကာသ၊ မိုးလေဝသ
🌖 => 🌖, လပြည့်နီးပါး၊ လဆုပ်၊ လ၊ အာကာသ၊ မိုးလေဝသ
🌗 => 🌗, လ၊ လေးပုံတစ်ပုံ၊ အာကာသ၊ မိုးလေဝသ
🌘 => 🌘, လခြမ်း၊ လဆုပ်၊ အာကာသ၊ မိုးလေဝသ
🌙 => 🌙, လခြမ်း၊ လ၊ အာကာသ၊ မိုးလေဝသ
🌚 => 🌚, လ၊ မျက်နှာ၊ အာကာသ၊ မိုးလေဝသ
🌛 => 🌛, လ၊ လေးပုံတစ်ပုံ၊ မျက်နှာ၊ အာကာသ၊ မိုးလေဝသ
🌜 => 🌜, လ၊ လေးပုံတစ်ပုံ၊ မျက်နှာ၊ အာကာသ၊ မိုးလေဝသ
🌡 => 🌡, မိုးလေဝသ
☀ => ☀, တောက်ပ၊ နေသာ၊ အလင်းရောင်၊ အာကာသ၊ မိုးလေဝသ
🌝 => 🌝, အပြည့်၊ လ၊ တောက်ပ၊ မျက်နှာ၊ အာကာသ၊ မိုးလေဝသ
🌞 => 🌞, တောက်ပ၊ နေ၊ မျက်နှာ၊ အာကာသ၊ မိုးလေဝသ
⭐ => ⭐, ကြယ်
🌟 => 🌟, တောက်ပ၊ ၀င်း၊ လက်၊ ကြယ်
🌠 => 🌠, ကျလာ၊ ပစ်လွှတ်၊ အာကာသ၊ ကြယ်
☁ => ☁, မိုးလေဝသ
⛅ => ⛅, တိမ်၊ နေ၊ မိုးလေဝသ
⛈ => ⛈, မိုးကြိုး၊ တိမ်၊ မိုး၊ မိုးလေဝသ
🌤 => 🌤, တိမ်၊ နေ၊ မိုးလေဝသ
🌥 => 🌥, တိမ်၊ နေ၊ မိုးလေဝသ
🌦 => 🌦, တိမ်၊ မိုး၊ နေ၊ မိုးလေဝသ
🌧 => 🌧, တိမ်၊ မိုး၊ မိုးလေဝသ
🌨 => 🌨, တိမ်၊ ဆီးနှင်း၊ အေး၊ မိုးလေဝသ
🌩 => 🌩, တိမ်၊ လျှပ်စီးလက်၊ မိုးလေဝသ
🌪 => 🌪, တိမ်၊ မိုးလေဝသ၊ လေပြင်း
🌫 => 🌫, တိမ်၊ မိုးလေဝသ
🌬 => 🌬, လေတိုက်၊ တိမ်၊ မျက်နှာ၊ လေ၊ မိုးလေဝသ
🌀 => 🌀, မူးဝေ၊ လေတင်၊ နှာမောင်း၊ မုန်တိုင်း၊ မိုးလေဝသ
🌈 => 🌈, မိုး၊ မိုးလေဝသ
🌂 => 🌂, ဆောင်စရာ၊ မိုး၊ ထီး၊ မိုးလေဝသ
☂ => ☂, ဆောင်စရာ၊ မိုး၊ မိုးလေဝသ
☔ => ☔, ဆောင်စရာ၊ အစက်၊ မိုး၊ ထီး၊ မိုးလေဝသ
⛱ => ⛱, မိုး၊ နေ၊ ထီး၊ မိုးလေဝသ
⚡ => ⚡, အန္တရာယ်၊ လျှပ်စစ်၊ ဓာတ်အား၊ မိုးကြိုး၊ ဗို့အား၊ သတိမေ့
❄ => ❄, အေး၊ ဆီးနှင်း၊ မိုးလေဝသ
☃ => ☃, အေး၊ ဆီးနှင်း၊ မိုးလေဝသ
⛄ => ⛄, ဆီးနှင်းလူ၊ အေး၊ ဆီးနှင်း၊ မိုးလေဝသ
☄ => ☄, အာကာသ
🔥 => 🔥, မီးလျှံ၊ တန်ဆာပလာ
💧 => 💧, အေး၊ ဟာသ၊ အစက်၊ ချွေး၊ မိုးလေဝသ
🌊 => 🌊, သမုဒ္ဒရာ၊ ရေ၊ လှိုင်း၊ မိုးလေဝသ
🎃 => 🎃, ပွဲတော်၊ ဟာလိုဝင်း၊ ဖရုံသီး မီးအိမ်
🎄 => 🎄, ပွဲတော်၊  ခရစ္စမတ်၊ အပင်
🎆 => 🎆, ပွဲတော်၊
🎇 => 🎇, ပွဲတော်၊  မီးရှူး၊ မီးပန်း၊ ၀င်းလက်
✨ => ✨, ၀င်းလက်၊ ကြယ်
🎈 => 🎈, ပွဲတော်၊
🎉 => 🎉, ပွဲတော်၊ ပါတီ၊ ဗျောက်အိုး၊ တာဒါ
🎊 => 🎊, ရောင်စုံ၊ စက္ကူ၊ဗျောက်အိုး၊ ပွဲတော်
🎋 => 🎋, တံခွန်၊ ပွဲတော်၊ ဂျပန်၊ အပင်
🎌 => 🎌, ကြက်ခြေခတ်၊ ကားတိုင်၊ ပွဲတော်၊ ဂျပန်
🎍 => 🎍, ဝါး၊ ပွဲတော်၊ ဂျပန်၊ အပင်
🎎 => 🎎, ပွဲတော်၊ ဂျပန်၊ ကျင်းပ၊ အရုပ်
🎏 => 🎏, ငါးကြင်း၊ ပွဲတော်၊ ကြွေးကြော်ချက်
🎐 => 🎐, လေ၊ ခေါင်းလောင်း၊ ပွဲတော်၊ အသံ
🎑 => 🎑, လ၊ အခမ်းအနား၊ ပွဲတော်
🎀 => 🎀, အခမ်းအနား
🎁 => 🎁, ဘူး၊ အခမ်းအနား၊ လက်ဆောင်၊ ထုပ်ပိုး
🎖 => 🎖, အခမ်းအနား၊၊ ဆုတံဆိပ်၊ စစ်တပ်
🎗 => 🎗, အခမ်းအနား၊ သတိပေး၊ ဖဲကြိုး
🎞 => 🎞, ရုပ်ရှင်၊ ဖလင်၊ အကွက်များ
🎟 => 🎟, ၀င်ခွင့်၊ လက်မှတ်
🎫 => 🎫, ဝင်ခွင့်
⚽ => ⚽, ဘောလုံး၊ အားကစား
⚾ => ⚾, ဘော
🏀 => 🏀, ဘော၊ ကွင်း
🏈 => 🏈, အမေရိကန်၊ ဘော၊ ဘောလုံး
🏉 => 🏉, ရာဂ်ဘီ၊ ဘော၊ ဘောလုံး
🎾 => 🎾, ဘော၊ ရိုက်တံ
🎱 => 🎱, ၈၊ ဂ၊ အလုံး၊ ဘီလိယက်၊ ရှစ်၊ ကစားပွဲ
🎳 => 🎳, ဘောလုံး၊ ကစားပွဲ
⛳ => ⛳, ဂေါက်၊ ကျင်း
🏌 => 🏌, ဘောလုံး၊ ဂေါက်
⛸ => ⛸, ရေခဲ၊ စကိတ်
🎣 => 🎣, ငါး၊ မျှားတံ
🎽 => 🎽, ပြေး၊ ရှပ်အင်္ကျီ
🎿 => 🎿, စကီး၊ ဆီးနှင်း
⛷ => ⛷, စကီး၊ ဆီးနှင်း
🏂 => 🏂, စကီး၊ ဆီးနှင်း၊ စနိုးဘုတ်
🏄 => 🏄, ရေလွှာ၊ လှိုင်းစီး
🏇 => 🏇, မြင်း၊ ဂျော်ကီ၊ ပြိုင်မြင်း၊ ပြိုင်ခြင်း
🏊 => 🏊, ရေကူး
⛹ => ⛹, ဘောလုံး
🏋 => 🏋, အလေးမသူ၊ အလေး
🚴 => 🚴, စက်ဘီး၊ စက်ဘီးစီးသူ
🚵 => 🚵, တောင်၊ စက်ဘီး၊ စက်ဘီးစီးသူ
🏎 => 🏎, ကား၊ ကားပြိုင်မောင်းခြင်း
🏍 => 🏍, အပြေးပြိုင်
🏅 => 🏅, ဆုတံဆိပ်
🏆 => 🏆, ဆု
🏏 => 🏏, ဘော၊ ရိုက်တံ၊ ပွဲစဥ်
🏐 => 🏐, ဘော၊ ပွဲစဥ်
🏑 => 🏑, ဘော၊ ကွင်းပြင်၊ ဟော်ကီ၊ ရိုက်တံ၊ ပွဲစဥ်
🏒 => 🏒, ရေခဲပြင် ဘော၊ ကွင်းပြင်၊ ဟော်ကီ၊ ရိုက်တံ၊ ရော်ဘာဒိုးပြား
🏓 => 🏓, ဘော၊ ရိုက်တံ၊ ပွဲစဥ်၊ ရိုက်တံ၊ စားပွဲ၊ တင်းနစ်
🏸 => 🏸, ကြက်၊ တောင်၊ ရိုက်တံ၊ ကြက်တောင်
🎯 => 🎯, စက်ကွင်း၊ လှံတို၊ မျက်စိ၊ ပွဲစဥ်၊ ထိမှန်၊ ပစ်မှတ်
🎮 => 🎮, ဂိမ်း၊ ထိန်းချုပ်စက်
🕹 => 🕹, ဂိမ်း၊ ဗီဒီယိုဂိမ်း
🎲 => 🎲, ကစားပွဲ၊ ကြွေ၊ အံစာတုံး
♠ => ♠, ဖဲ၊ ကစားပွဲ၊ ဖူးဖဲ၊ သုံးချပ်
♥ => ♥, ဖဲ၊ ကစားပွဲ၊ သုံးချပ်၊ ဖူးနီ
♦ => ♦, ဖဲ၊ ချွန်းဖဲ၊ ကစားပွဲ၊ သုံးချပ်
♣ => ♣, ညှင်းဖဲ၊ သုံးချပ်၊ ဖဲ၊ ကစားပွဲ၊
🃏 => 🃏, ဖဲ၊ ကစားပွဲ၊ ကစား
🀄 => 🀄, mahjong၊ နီ၊ ကစားပွဲ
🎴 => 🎴, ဖဲ၊ ပန်း၊ ကစားပွဲ၊ ဂျပန်၊ ကစား
🔇 => 🔇, အသံတိတ်၊ ဆိတ်ငြိမ်၊ တိတ်ဆိတ်၊ စပီကာ၊ အတိုးအကျယ်
🔈 => 🔈, အတိုးအကျယ်
🔉 => 🔉, နိမ့်၊ စပီကာ၊ အတိုးအကျယ်၊ လှိုင်း
🔊 => 🔊, ၃၊ မြင့်၊ ကျယ်၊ စပီကာ၊ အတိုးအကျယ်
📢 => 📢, ကျယ်လောင်၊ အများပြည်သူ၊ ပြောရန်
📣 => 📣, နှုတ်ဆက်
📯 => 📯, စာတိုက်၊ ဦးချို၊ စာ
🔕 => 🔕, ခေါင်းလောင်း၊ တားမြစ်၊ တိတ်၊ မသုံးရ၊ မလုပ်ရ၊ တိတ်၊ ဆိတ်
🎼 => 🎼, ဂီတ၊ ရမှတ်များ
🎵 => 🎵, ဂီတ၊ သင်​္ကေတ
🎶 => 🎶, ဂီတ၊ သင်​္ကေတ၊ သင်​္ကေတများ
🎙 => 🎙, မိုက်၊ စတူဒီယို၊ မိုက်ခရိုဖုန်း၊ တေး၊ ဂီတ
🎚 => 🎚, အသံ၊ အဆင့်၊ ညှိတံ
🎛 => 🎛, ထိန်းချုပ်မှု၊ ခလုတ်များ၊ တေး၊ ဂီတ
🎤 => 🎤, မိုက်၊ ကာရာအိုကေ
🎧 => 🎧, နားစို့
🎷 => 🎷, တူရီယာ၊ ဂီတ၊ ဆက်ဆို
🎸 => 🎸, တူရီယာ၊ ဂီတ
🎹 => 🎹, တူရီယာ၊ ဂီတ၊ ကီးဘုတ်၊ စန္ဒရား
🎺 => 🎺, တူရီယာ၊ ဂီတ
🎻 => 🎻, တူရီယာ၊ ဂီတ
📱 => 📱, ဆဲလ်၊ မိုဘိုင်း၊ ဖုန်း၊ တယ်လီဖုန်း
📲 => 📲, မြား၊ ခ​ေါ်ဆိုမှု၊ ဆဲလ်၊ မိုဘိုင်း၊ ဖုန်း၊ တယ်လီဖုန်း၊ လက်ခံ
☎ => ☎, ဖုန်း
📞 => 📞, ဖုန်း၊ အသံဖမ်းစက်၊ တယ်လီဖုန်း
📠 => 📠, ဖက်စ်
🔌 => 🔌, လျှပ်စစ်၊ ဓာတ်အား၊ ပလပ်
💻 => 💻, ကွန်ပျူတာ၊ pc၊ ကိုယ်ပိုင်
🖥 => 🖥, ဒက်စ်တော့၊ ကွန်ပျူတာ
🖨 => 🖨, ကွန်ပျူတာ
⌨ => ⌨, ကွန်ပျူတာ
🖱 => 🖱, ၃၊ ခလုတ်၊ ကွန်ပျူတာ၊ မောက်စ်၊ သုံး
🖲 => 🖲, ကွန်ပျူတာ
💽 => 💽, ကွန်ပျူတာ၊ မီနီဒစ်က်၊ ဒစ်က်၊ အလင်း
💾 => 💾, ကွန်ပျူတာ၊ ဒစ်က်၊ ဖလော်ပီ
💿 => 💿, ဒီဗီဒီ၊ ဘလူးရေး၊ စီဒီ၊ ကွန်ပျူတာ၊ မီနီဒစ်က်၊ ဒစ်က်၊ အလင်း
📀 => 📀, ဘလူးရေး၊ စီဒီ၊ ကွန်ပျူတာ၊ ဒစ်က်၊ အလင်း
🎥 => 🎥, ရုပ်ရှင်၊ ကင်မရာ
🎬 => 🎬, ရုပ်ရှင်၊ ကလက်
📽 => 📽, ရုပ်ရှင်၊ ဖလင်၊ ရုပ်ရှင်ပြစက်၊ ဗီဒီယို
📺 => 📺, tv၊ ဗီဒီယို
📷 => 📷, ဗီဒီယို
📸 => 📸, ဖလက်ရှ်၊ ကင်မရာ၊ ဗီဒီယို
📹 => 📹, ဗီဒီယို၊ ကင်မရာ
📼 => 📼, ဗီဒီယို၊ တိပ်၊ vhs
🔍 => 🔍, မှန်ဘီလူး၊ ရှာဖွေ၊ ကိရိယာ
🔎 => 🔎, မှန်ဘီလူး၊ ရှာဖွေ၊ ကိရိယာ
🔬 => 🔬, ကိရိယာ
🔭 => 🔭, ကိရိယာ
📡 => 📡, ဂြိုဟ်တု၊  စလောင်း၊ ဧရီယာတိုင်
🕯 => 🕯, မီး
💡 => 💡, မီးလုံး၊ ဟာသ၊ လျှပ်စစ်၊ အကြံအစည်၊ မီး
🔦 => 🔦, ဓာတ်မီး၊ မီး၊ လျှပ်စစ်၊ ကိရိယာ
🏮 => 🏮, ဘား၊ ဂျပန်၊ မီးအိမ်၊ နီ
📔 => 📔, စာအုပ်၊ အဖုံး၊ ပြင်ဆင်ထား၊ မှတ်စုစာအုပ်
📕 => 📕, ပိတ်၊ စာအုပ်
📖 => 📖, ဖွင့်ထား၊ စာအုပ်
📗 => 📗, အစိမ်း၊ စာအုပ်
📘 => 📘, အပြာ၊ စာအုပ်
📙 => 📙, လိမ္မော်၊ စာအုပ်
📚 => 📚, စာအုပ်
📒 => 📒, မှတ်စုစာအုပ်
📃 => 📃, တွန့်၊ လိပ်၊ စာရွက်
📜 => 📜, စာရွက်
📄 => 📄, စာတမ်း၊ စာမျက်နှာ
📰 => 📰, သတင်း၊ စာမျက်နှာ
🗞 => 🗞, သတင်း၊ သတင်းစာ၊ စက္ကူ၊ လိပ်ထား
📑 => 📑, စာညှပ်၊ တံဆိပ်များ၊ အမှတ်၊ မာရ်ကား
🔖 => 🔖, အမှတ်
💰 => 💰, အိတ်၊ ဒေါ်လာ၊ ငွေ၊ ငွေအိတ်
