🏻 => 🏻, taglimt taceɛlalt
🇬🇩 => 🇬🇩, anay: Grunad
🇬🇪 => 🇬🇪, anay: Jiyurji
🇬🇫 => 🇬🇫, anay: Ɣana tafransist
🇬🇬 => 🇬🇬, anay: Girnizi
🇬🇭 => 🇬🇭, anay: Ɣana
🇬🇮 => 🇬🇮, anay: Jibraltar
🇬🇱 => 🇬🇱, anay: Grunland
🇬🇲 => 🇬🇲, anay: Gambya
🇬🇳 => 🇬🇳, anay: Ɣinya
🇬🇵 => 🇬🇵, anay: Gwadalupi
🇬🇶 => 🇬🇶, anay: Ɣinya Tasebgast
🇬🇷 => 🇬🇷, anay: Lagris
🇬🇸 => 🇬🇸, anay: Tigzirin n Jyuṛjya n Unzul akked Sandwič n Unẓul
🇬🇹 => 🇬🇹, anay: Gwatimala
🇬🇺 => 🇬🇺, anay: Gwam
🇬🇼 => 🇬🇼, anay: Ɣinya-Bisaw
🇬🇾 => 🇬🇾, anay: Guwana
🇭🇰 => 🇭🇰, anay: Tamnaṭ Taqbuṛt Tacinwat n Hung Kung
🇭🇲 => 🇭🇲, anay: Tigzirin Heard akked McDonald
🇭🇳 => 🇭🇳, anay: Hunduras
🇭🇷 => 🇭🇷, anay: Kerwasya
🇭🇹 => 🇭🇹, anay: Hayti
🇭🇺 => 🇭🇺, anay: Hungri
🇮🇨 => 🇮🇨, anay: Tigzirin Tikanaṛiyin
🇮🇩 => 🇮🇩, anay: Indunizi
🇮🇪 => 🇮🇪, anay: Lirlund
🇮🇱 => 🇮🇱, anay: Izrayil
🇮🇲 => 🇮🇲, anay: Tigzirt n Man
🇮🇳 => 🇮🇳, anay: Lhend
🇮🇴 => 🇮🇴, anay: Akal Aglizi deg Ugaraw Ahendi
🇮🇶 => 🇮🇶, anay: Lɛiraq
🇮🇷 => 🇮🇷, anay: Iran
🇮🇸 => 🇮🇸, anay: Island
🇮🇹 => 🇮🇹, anay: Ṭelyan
🇯🇪 => 🇯🇪, anay: Jiṛzi
🇯🇲 => 🇯🇲, anay: Jamyika
🇯🇴 => 🇯🇴, anay: Lajurdani
🇯🇵 => 🇯🇵, anay: Jappu
🇰🇪 => 🇰🇪, anay: Kinya
🇰🇬 => 🇰🇬, anay: Kirigistan
🇰🇭 => 🇰🇭, anay: Cambudya
🇰🇮 => 🇰🇮, anay: Kiribati
🇰🇲 => 🇰🇲, anay: Kumur
🇰🇳 => 🇰🇳, anay: San Kits d Nivis
🇰🇵 => 🇰🇵, anay: Kurya, Ufella
🇰🇷 => 🇰🇷, anay: Kurya, Wadda
🇰🇼 => 🇰🇼, anay: Kuwayt
🇰🇾 => 🇰🇾, anay: Tigzirin n Kamyan
🇰🇿 => 🇰🇿, anay: Kazaxistan
🇱🇦 => 🇱🇦, anay: Laws
🇱🇧 => 🇱🇧, anay: Lubnan
🇱🇨 => 🇱🇨, anay: San Lučya
🇱🇮 => 🇱🇮, anay: Layctenstan
🇱🇰 => 🇱🇰, anay: Sri Lanka
🇱🇷 => 🇱🇷, anay: Libirya
🇱🇸 => 🇱🇸, anay: Lizuṭu
🇱🇹 => 🇱🇹, anay: Liṭwanya
🇱🇺 => 🇱🇺, anay: Luksamburg
🇱🇻 => 🇱🇻, anay: Latvia
🇱🇾 => 🇱🇾, anay: Libya
🇲🇦 => 🇲🇦, anay: Lmerruk
🇲🇨 => 🇲🇨, anay: Munaku
🇲🇩 => 🇲🇩, anay: Muldabi
🇲🇪 => 🇲🇪, anay: Muntinigru
🇲🇫 => 🇲🇫, anay: San Maṛtan
🇲🇬 => 🇲🇬, anay: Madaɣecqer
🇲🇭 => 🇲🇭, anay: Tigzirin n Marcal
🇲🇱 => 🇲🇱, anay: Mali
🇲🇲 => 🇲🇲, anay: Myanmar
🇲🇳 => 🇲🇳, anay: Mungulya
🇲🇴 => 🇲🇴, anay: Tamnaṭ Tudbilt Tuzzigt tacenwit n Makaw
🇲🇵 => 🇲🇵, anay: Tigzirin n Maryan Ufella
🇲🇶 => 🇲🇶, anay: Martinik
🇲🇷 => 🇲🇷, anay: Muriṭanya
🇲🇸 => 🇲🇸, anay: Munsirat
🇲🇹 => 🇲🇹, anay: Malṭ
🇲🇺 => 🇲🇺, anay: Muris
🇲🇻 => 🇲🇻, anay: Maldib
🇲🇼 => 🇲🇼, anay: Malawi
🇲🇽 => 🇲🇽, anay: Meksik
🇲🇾 => 🇲🇾, anay: Malizya
🇲🇿 => 🇲🇿, anay: Muzembiq
🇳🇦 => 🇳🇦, anay: Namibya
🇳🇨 => 🇳🇨, anay: Kalidunya Tamaynut
🇳🇪 => 🇳🇪, anay: Nijer
🇳🇫 => 🇳🇫, anay: Tigzirin Tinawfukin
🇳🇬 => 🇳🇬, anay: Nijirya
🇳🇮 => 🇳🇮, anay: Nikaragwa
🇳🇱 => 🇳🇱, anay: Timura-Yessakesren
🇳🇴 => 🇳🇴, anay: Nurvij
🇳🇵 => 🇳🇵, anay: Nipal
🇳🇷 => 🇳🇷, anay: Nuru
🇳🇺 => 🇳🇺, anay: Niwi
🇳🇿 => 🇳🇿, anay: Ziland Tamaynut
🇴🇲 => 🇴🇲, anay: Ɛuman
🇵🇦 => 🇵🇦, anay: Panam
🇵🇪 => 🇵🇪, anay: Piru
🇵🇫 => 🇵🇫, anay: Pulunizi tafransist
🇵🇬 => 🇵🇬, anay: Ɣinya Tamaynut Tapaput
🇵🇭 => 🇵🇭, anay: Filipin
🇵🇰 => 🇵🇰, anay: Pakistan
🇵🇱 => 🇵🇱, anay: Pulund
🇵🇲 => 🇵🇲, anay: San Pyar d Miklun
🇵🇳 => 🇵🇳, anay: Pitkarin
🇵🇷 => 🇵🇷, anay: Purtu Riku
🇵🇸 => 🇵🇸, anay: Falisṭin d Ɣezza
🇵🇹 => 🇵🇹, anay: Purtugal
🇵🇼 => 🇵🇼, anay: Palu
🇵🇾 => 🇵🇾, anay: Paragway
🇶🇦 => 🇶🇦, anay: Qaṭar
🇷🇪 => 🇷🇪, anay: Timlilit
🇷🇴 => 🇷🇴, anay: Rumani
🇷🇸 => 🇷🇸, anay: Ṣirbya
🇷🇺 => 🇷🇺, anay: Rrus
🇷🇼 => 🇷🇼, anay: Ruwanda
🇸🇦 => 🇸🇦, anay: Suɛudiya Taɛrabt
🇸🇧 => 🇸🇧, anay: Tigzirin n Sulumun
🇸🇨 => 🇸🇨, anay: Seycel
🇸🇩 => 🇸🇩, anay: Sudan
🇸🇪 => 🇸🇪, anay: Swid
🇸🇬 => 🇸🇬, anay: Singafur
🇸🇭 => 🇸🇭, anay: Sant Ilina
🇸🇮 => 🇸🇮, anay: Sluvinya
🇸🇯 => 🇸🇯, anay: Svalvard d Jan Mayen
🇸🇰 => 🇸🇰, anay: Sluvakya
🇸🇱 => 🇸🇱, anay: Sira Lyun
🇸🇲 => 🇸🇲, anay: San Marinu
🇸🇳 => 🇸🇳, anay: Sinigal
🇸🇴 => 🇸🇴, anay: Ṣumal
🇸🇷 => 🇸🇷, anay: Surinam
🇸🇸 => 🇸🇸, anay: Sudan n unẓul
🇸🇹 => 🇸🇹, anay: Saw Tumi d Pransip
🇸🇻 => 🇸🇻, anay: Salvadur
🇸🇽 => 🇸🇽, anay: San Maṛtan(Tamnaḍt tahulandit)
🇸🇾 => 🇸🇾, anay: Surya
🇸🇿 => 🇸🇿, anay: Swazilund
🇹🇦 => 🇹🇦, anay: Tristan da Kunha
🇹🇨 => 🇹🇨, anay: Ṭurk d Tegzirin n Kaykus
🇹🇩 => 🇹🇩, anay: Čad
🇹🇫 => 🇹🇫, anay: Timura n umalu tifṛansisiyin
🇹🇬 => 🇹🇬, anay: Ṭugu
🇹🇭 => 🇹🇭, anay: Ṭayland
🇹🇯 => 🇹🇯, anay: Tajikistan
🇹🇰 => 🇹🇰, anay: Ṭuklu
🇹🇱 => 🇹🇱, anay: Tumur Asamar
🇹🇲 => 🇹🇲, anay: Ṭurkmanistan
🇹🇳 => 🇹🇳, anay: Tunes
🇹🇴 => 🇹🇴, anay: Ṭunga
🇹🇷 => 🇹🇷, anay: Ṭurk
🇹🇹 => 🇹🇹, anay: Ṭrindad d Ṭubagu
🇹🇻 => 🇹🇻, anay: Ṭuvalu
🇹🇼 => 🇹🇼, anay: Ṭaywan
🇹🇿 => 🇹🇿, anay: Ṭanzanya
🇺🇦 => 🇺🇦, anay: Ukran
🇺🇬 => 🇺🇬, anay: Uɣanda
🇺🇲 => 🇺🇲, anay: Tigzirin ibeɛden n Marikan
🇺🇳 => 🇺🇳, anay: Timura Idduklen
🇺🇸 => 🇺🇸, anay: WDM
🇺🇾 => 🇺🇾, anay: Urugway
🇺🇿 => 🇺🇿, anay: Uzbaxistan
🇻🇦 => 🇻🇦, anay: Awanek n Vatikan
🇻🇨 => 🇻🇨, anay: San Vansu d Grunadin
🇻🇪 => 🇻🇪, anay: Venzwila
🇻🇬 => 🇻🇬, anay: Tigzirin Tiverjiniyin Tigliziyin
🇻🇮 => 🇻🇮, anay: W.D. Tigzirin n Virginya
🇻🇳 => 🇻🇳, anay: Vyeṭnam
🇻🇺 => 🇻🇺, anay: Vanwatu
🇼🇫 => 🇼🇫, anay: Wallis d Futuna
🇼🇸 => 🇼🇸, anay: Samwa
🇽🇰 => 🇽🇰, anay: Kuṣuvu
🇾🇪 => 🇾🇪, anay: Lyamen
🇾🇹 => 🇾🇹, anay: Mayuṭ
🇿🇦 => 🇿🇦, anay: Tafriqt Wadda
🇿🇲 => 🇿🇲, anay: Zambya
🇿🇼 => 🇿🇼, anay: Zimbabwi
0⃣ => 0⃣, keycap: 0
1⃣ => 1⃣, keycap: 1
2⃣ => 2⃣, keycap: 2
3⃣ => 3⃣, keycap: 3
4⃣ => 4⃣, keycap: 4
5⃣ => 5⃣, keycap: 5
6⃣ => 6⃣, keycap: 6
7⃣ => 7⃣, keycap: 7
8⃣ => 8⃣, keycap: 8
9⃣ => 9⃣, keycap: 9
